Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,1966.9251692523787,EnrichmentFacility
2,2933.5646924120915,EnrichmentFacility
3,3900.5994842529126,EnrichmentFacility
4,4867.482462948208,EnrichmentFacility
5,5835.603590483307,EnrichmentFacility
6,6802.479492276212,EnrichmentFacility
7,7769.723624241105,EnrichmentFacility
8,8736.907972801382,EnrichmentFacility
9,9704.300387410036,EnrichmentFacility
10,10671.830205917991,EnrichmentFacility
11,11638.29140775344,EnrichmentFacility
12,12605.371662384627,EnrichmentFacility
13,13572.657966930867,EnrichmentFacility
14,14539.441805582177,EnrichmentFacility
15,15506.793727892595,EnrichmentFacility
16,16473.455292447376,EnrichmentFacility
17,17440.359602027576,EnrichmentFacility
18,18406.657887365887,EnrichmentFacility
19,19373.064099618077,EnrichmentFacility
20,20340.416021928497,EnrichmentFacility
21,21307.525824515775,EnrichmentFacility
22,22274.180057449223,EnrichmentFacility
23,23241.48141114862,EnrichmentFacility
24,24208.47477511805,EnrichmentFacility
25,25176.757919345222,EnrichmentFacility
26,26143.142239347442,EnrichmentFacility
27,27110.003937211204,EnrichmentFacility
28,28076.572049087274,EnrichmentFacility
29,29043.301504955754,EnrichmentFacility
30,30010.653427266185,EnrichmentFacility
31,30977.850312127684,EnrichmentFacility
32,31946.174708153023,EnrichmentFacility
33,32913.24246005422,EnrichmentFacility
34,33880.17949116973,EnrichmentFacility
35,34847.531413480145,EnrichmentFacility
36,35813.73766221262,EnrichmentFacility
37,36780.3196967574,EnrichmentFacility
38,37747.22500286406,EnrichmentFacility
39,38714.21875970977,EnrichmentFacility
40,39681.78955439991,EnrichmentFacility
41,40648.51464049585,EnrichmentFacility
42,41615.872868130165,EnrichmentFacility
43,42582.44777156647,EnrichmentFacility
44,43550.01279144548,EnrichmentFacility
45,44517.364713755895,EnrichmentFacility
46,45485.172572564654,EnrichmentFacility
47,46452.13081473349,EnrichmentFacility
48,47419.509013035095,EnrichmentFacility
49,48386.64128540226,EnrichmentFacility
50,49354.18553718512,EnrichmentFacility
51,50320.53238845187,EnrichmentFacility
52,51288.35467227359,EnrichmentFacility
53,52255.99179887946,EnrichmentFacility
54,53224.00064744739,EnrichmentFacility
55,54191.35256975781,EnrichmentFacility
56,55159.080323339454,EnrichmentFacility
57,56126.12555594164,EnrichmentFacility
58,57093.04518387105,EnrichmentFacility
59,58060.312723015144,EnrichmentFacility
60,59027.66464532557,EnrichmentFacility
61,59993.79718735575,EnrichmentFacility
62,60960.8869993896,EnrichmentFacility
63,61927.47054957107,EnrichmentFacility
64,62894.05770362675,EnrichmentFacility
65,63861.409625937165,EnrichmentFacility
66,64828.592589374544,EnrichmentFacility
67,65796.36605371968,EnrichmentFacility
68,66763.34223501415,EnrichmentFacility
69,67730.0985498198,EnrichmentFacility
70,68697.68273084436,EnrichmentFacility
71,69665.50039147846,EnrichmentFacility
72,70633.13902205182,EnrichmentFacility
73,71600.41098553114,EnrichmentFacility
74,72567.14686053553,EnrichmentFacility
75,73534.49878284597,EnrichmentFacility
76,74500.89849906565,EnrichmentFacility
77,75468.12647782979,EnrichmentFacility
78,76434.6241639819,EnrichmentFacility
79,77402.16594898458,EnrichmentFacility
80,78369.51787129501,EnrichmentFacility
81,79336.48494408489,EnrichmentFacility
82,80303.63770792185,EnrichmentFacility
83,81270.25775664879,EnrichmentFacility
84,82237.33958537021,EnrichmentFacility
85,83204.69150768063,EnrichmentFacility
86,84172.0601672273,EnrichmentFacility
87,85138.87568405033,EnrichmentFacility
88,86105.4763438219,EnrichmentFacility
89,87072.46091800087,EnrichmentFacility
90,88039.81284031131,EnrichmentFacility
91,89006.46897066853,EnrichmentFacility
92,89974.21872716131,EnrichmentFacility
93,90940.86626743288,EnrichmentFacility
94,91907.2144615584,EnrichmentFacility
95,92874.72354030945,EnrichmentFacility
96,93841.7831438958,EnrichmentFacility
97,94809.89441213329,EnrichmentFacility
98,95777.1543472386,EnrichmentFacility
99,96745.70485479184,EnrichmentFacility
1,33.046835084426654,LEU
2,66.38735133435381,LEU
3,99.32148020516426,LEU
4,132.4116926446298,LEU
5,164.22892777520929,LEU
6,197.3264161865716,LEU
7,230.04531630683366,LEU
8,262.825681507123,LEU
9,295.3921278716327,LEU
10,327.81730523814736,LEU
11,361.34115889645653,LEU
12,394.2285461327587,LEU
13,426.90408737936866,LEU
14,460.09622861958667,LEU
15,492.70430630916866,LEU
16,526.022161151292,LEU
17,559.0904426793976,LEU
18,592.781795589357,LEU
19,626.3621856586864,LEU
20,658.9702633482683,LEU
21,691.8272714601814,LEU
22,725.152664158247,LEU
23,757.8127329270113,LEU
24,790.789455013213,LEU
25,822.4401160082493,LEU
26,856.0430141449184,LEU
27,889.1551060344115,LEU
28,922.569042329449,LEU
29,955.8170961112868,LEU
30,988.4251738008688,LEU
31,1021.1926500604409,LEU
32,1052.8008988661375,LEU
33,1085.7011405275798,LEU
34,1118.7357800809716,LEU
35,1151.3438577705535,LEU
36,1185.1298362271789,LEU
37,1218.5294582162207,LEU
38,1251.5967151860984,LEU
39,1284.5730333446245,LEU
40,1316.9560818907194,LEU
41,1350.2086283644849,LEU
42,1382.8102233647478,LEU
43,1416.2171770565715,LEU
44,1448.6061628561504,LEU
45,1481.2142405457323,LEU
46,1513.3535564855017,LEU
47,1546.3663883298923,LEU
48,1578.9474508986232,LEU
49,1611.7813571676709,LEU
50,1644.191695258932,LEU
51,1677.8331161066847,LEU
52,1709.9576012655314,LEU
53,1742.2724520143468,LEU
54,1774.2051244597926,LEU
55,1806.8132021493748,LEU
56,1839.0348766337268,LEU
57,1871.958271050097,LEU
58,1905.0108033319523,LEU
59,1937.7056378415032,LEU
60,1970.313715531085,LEU
61,2004.1754740203673,LEU
62,2037.0530350093482,LEU
63,2070.451098727651,LEU
64,2103.8454571966918,LEU
65,2136.4535348862737,LEU
66,2169.235324172247,LEU
67,2201.410002073607,LEU
68,2234.4043901743075,LEU
69,2267.624829491369,LEU
70,2299.994115152568,LEU
71,2332.123353546858,LEU
72,2364.43665802238,LEU
73,2397.1269437424908,LEU
74,2430.3683978215504,LEU
75,2462.9764755111323,LEU
76,2496.563544342901,LEU
77,2529.2990520448943,LEU
78,2562.7853951021048,LEU
79,2595.198269362752,LEU
80,2627.806347052334,LEU
81,2660.8100998750297,LEU
82,2693.6229382601223,LEU
83,2726.9834767482575,LEU
84,2759.8692456160034,LEU
85,2792.4773233055853,LEU
86,2825.0681929493653,LEU
87,2858.227764927736,LEU
88,2891.6082377722746,LEU
89,2924.5939969010806,LEU
90,2957.202074590663,LEU
91,2990.525516491442,LEU
92,3022.7245691344738,LEU
93,3056.056842755434,LEU
94,3089.696882970515,LEU
95,3122.1433834922886,LEU
96,3155.0520026763543,LEU
97,3186.8793744413483,LEU
98,3219.5820268872576,LEU
99,3250.9578037678907,LEU
1,0.02799566319443664,delta_LEU
2,0.04795625355467741,delta_LEU
3,0.07903554192381385,delta_LEU
4,0.10584440716170374,delta_LEU
5,0.12748174148356217,delta_LEU
6,0.1540915372168382,delta_LEU
7,0.19105945206197616,delta_LEU
8,0.22634569149583036,delta_LEU
9,0.26748471833321813,delta_LEU
10,0.27248884386077715,delta_LEU
11,0.28743335010451687,delta_LEU
12,0.31979148261411255,delta_LEU
13,0.35794568976781427,delta_LEU
14,0.3819657982376189,delta_LEU
15,0.3819657982376189,delta_LEU
16,0.4025464013314599,delta_LEU
17,0.4299552930293281,delta_LEU
18,0.44031704475972205,delta_LEU
19,0.4537147232402407,delta_LEU
20,0.4537147232402407,delta_LEU
21,0.48690402405676375,delta_LEU
22,0.5072783925376145,delta_LEU
