Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,1966.9251692523787,EnrichmentFacility
2,2933.5646924120915,EnrichmentFacility
3,3900.5994842529126,EnrichmentFacility
4,4867.482462948208,EnrichmentFacility
5,5844.077361100385,EnrichmentFacility
6,6810.95326289329,EnrichmentFacility
7,7778.197394858183,EnrichmentFacility
8,8745.38174341846,EnrichmentFacility
9,9712.774158027114,EnrichmentFacility
10,10689.369056179288,EnrichmentFacility
11,11655.830258014737,EnrichmentFacility
12,12622.910512645924,EnrichmentFacility
13,13590.19681719216,EnrichmentFacility
14,14556.98065584347,EnrichmentFacility
15,15533.57555399565,EnrichmentFacility
16,16500.23711855043,EnrichmentFacility
17,17467.141428130628,EnrichmentFacility
18,18433.43971346894,EnrichmentFacility
19,19399.84592572113,EnrichmentFacility
20,20376.440823873312,EnrichmentFacility
21,21343.550626460586,EnrichmentFacility
22,22310.20485939404,EnrichmentFacility
23,23277.506213093442,EnrichmentFacility
24,24244.49957706287,EnrichmentFacility
25,25221.094475215054,EnrichmentFacility
26,26187.478795217266,EnrichmentFacility
27,27154.34049308103,EnrichmentFacility
28,28120.908604957098,EnrichmentFacility
29,29087.638060825586,EnrichmentFacility
30,30064.232958977766,EnrichmentFacility
31,31031.429843839265,EnrichmentFacility
32,31999.754239864607,EnrichmentFacility
33,32966.821991765806,EnrichmentFacility
34,33933.75902288131,EnrichmentFacility
35,34910.35392103348,EnrichmentFacility
36,35876.56016976595,EnrichmentFacility
37,36843.142204310745,EnrichmentFacility
38,37810.047510417404,EnrichmentFacility
39,38777.04126726312,EnrichmentFacility
40,39753.636165415286,EnrichmentFacility
41,40720.361251511225,EnrichmentFacility
42,41687.71947914555,EnrichmentFacility
43,42654.294382581844,EnrichmentFacility
44,43621.85940246087,EnrichmentFacility
45,44598.45430061304,EnrichmentFacility
46,45566.26215942179,EnrichmentFacility
47,46533.22040159064,EnrichmentFacility
48,47500.59859989224,EnrichmentFacility
49,48467.7308722594,EnrichmentFacility
50,49444.325770411575,EnrichmentFacility
51,50410.67262167832,EnrichmentFacility
52,51378.49490550004,EnrichmentFacility
53,52346.13203210591,EnrichmentFacility
54,53314.14088067385,EnrichmentFacility
55,54290.73577882602,EnrichmentFacility
56,55258.463532407666,EnrichmentFacility
57,56225.50876500985,EnrichmentFacility
58,57192.42839293926,EnrichmentFacility
59,58159.69593208335,EnrichmentFacility
60,59136.29083023553,EnrichmentFacility
61,60102.423372265715,EnrichmentFacility
62,61069.51318429957,EnrichmentFacility
63,62036.09673448105,EnrichmentFacility
64,63002.683888536725,EnrichmentFacility
65,63979.2787866889,EnrichmentFacility
66,64946.46175012627,EnrichmentFacility
67,65914.23521447141,EnrichmentFacility
68,66881.21139576587,EnrichmentFacility
69,67847.9677105715,EnrichmentFacility
70,68824.56260872367,EnrichmentFacility
71,69792.38026935779,EnrichmentFacility
72,70760.01889993115,EnrichmentFacility
73,71727.29086341047,EnrichmentFacility
74,72694.02673841486,EnrichmentFacility
75,73670.62163656703,EnrichmentFacility
76,74637.02135278673,EnrichmentFacility
77,75604.24933155088,EnrichmentFacility
78,76570.74701770298,EnrichmentFacility
79,77538.28880270566,EnrichmentFacility
80,78514.88370085784,EnrichmentFacility
81,79481.85077364772,EnrichmentFacility
82,80449.00353748468,EnrichmentFacility
83,81415.62358621163,EnrichmentFacility
84,82382.70541493307,EnrichmentFacility
85,83359.30031308524,EnrichmentFacility
86,84326.6689726319,EnrichmentFacility
87,85293.48448945493,EnrichmentFacility
88,86260.08514922649,EnrichmentFacility
89,87227.06972340547,EnrichmentFacility
90,88203.66462155765,EnrichmentFacility
91,89170.32075191487,EnrichmentFacility
92,90138.07050840765,EnrichmentFacility
93,91104.71804867923,EnrichmentFacility
94,92071.06624280475,EnrichmentFacility
95,93047.66114095693,EnrichmentFacility
96,94014.72074454327,EnrichmentFacility
97,94982.83201278075,EnrichmentFacility
98,95950.09194788606,EnrichmentFacility
99,96918.64245543932,EnrichmentFacility
1,33.046835084426654,LEU
2,66.38735133435381,LEU
3,99.32148020516426,LEU
4,132.4116926446298,LEU
5,155.5167944924537,LEU
6,188.61428290381602,LEU
7,221.33318302407807,LEU
8,254.11354822436746,LEU
9,286.6799945888771,LEU
10,309.78509643670105,LEU
11,343.30895009501023,LEU
12,376.1963373313124,LEU
13,408.87187857792236,LEU
14,442.06401981814037,LEU
15,465.1691216659642,LEU
16,498.4869765080876,LEU
17,531.5552580361932,LEU
18,565.2466109461525,LEU
19,598.8270010154819,LEU
20,621.9321028633058,LEU
21,654.7891109752187,LEU
22,688.1145036732844,LEU
23,720.7745724420487,LEU
24,753.7512945282502,LEU
25,776.856396376074,LEU
26,810.4592945127431,LEU
27,843.5713864022362,LEU
28,876.9853226972737,LEU
29,910.2333764791115,LEU
30,933.3384783269354,LEU
31,966.1059545865073,LEU
32,997.714203392204,LEU
33,1030.6144450536465,LEU
34,1063.649084607038,LEU
35,1086.754186454862,LEU
36,1120.5401649114874,LEU
37,1153.9397869005293,LEU
38,1187.007043870407,LEU
39,1219.983362028933,LEU
40,1243.088463876757,LEU
41,1276.3410103505225,LEU
42,1308.9426053507852,LEU
43,1342.349559042609,LEU
44,1374.738544842188,LEU
45,1397.843646690012,LEU
46,1429.9829626297812,LEU
47,1462.9957944741718,LEU
48,1495.576857042903,LEU
49,1528.4107633119504,LEU
50,1551.5158651597744,LEU
51,1585.1572860075269,LEU
52,1617.2817711663736,LEU
53,1649.5966219151887,LEU
54,1681.5292943606348,LEU
55,1704.6343962084588,LEU
56,1736.8560706928108,LEU
57,1769.779465109181,LEU
58,1802.8319973910363,LEU
59,1835.5268319005872,LEU
60,1858.6319337484113,LEU
61,1892.4936922376933,LEU
62,1925.3712532266743,LEU
63,1958.769316944977,LEU
64,1992.1636754140177,LEU
65,2015.2687772618417,LEU
66,2048.0505665478154,LEU
67,2080.2252444491746,LEU
68,2113.2196325498753,LEU
69,2146.4400718669367,LEU
70,2169.5451737147605,LEU
71,2201.6744121090505,LEU
72,2233.9877165845724,LEU
73,2266.678002304683,LEU
74,2299.9194563837427,LEU
75,2323.0245582315665,LEU
76,2356.6116270633347,LEU
77,2389.3471347653285,LEU
78,2422.833477822539,LEU
79,2455.2463520831857,LEU
80,2478.3514539310095,LEU
81,2511.3552067537053,LEU
82,2544.168045138798,LEU
83,2577.528583626933,LEU
84,2610.414352494679,LEU
85,2633.5194543425027,LEU
86,2666.1103239862828,LEU
87,2699.2698959646536,LEU
88,2732.650368809192,LEU
89,2765.6361279379985,LEU
90,2788.7412297858223,LEU
91,2822.0646716866013,LEU
92,2854.263724329633,LEU
93,2887.5959979505933,LEU
94,2921.2360381656745,LEU
95,2944.3411400134983,LEU
96,2977.249759197564,LEU
97,3009.077130962558,LEU
98,3041.779783408467,LEU
99,3073.1555602891003,LEU
1,0.02799566319443664,delta_LEU
2,0.04795625355467741,delta_LEU
3,0.07903554192381385,delta_LEU
4,0.10584440716170374,delta_LEU
5,0.10584440716170374,delta_LEU
6,0.13245420289497975,delta_LEU
7,0.16942211774011773,delta_LEU
8,0.20470835717397193,delta_LEU
9,0.2458473840113597,delta_LEU
10,0.2458473840113597,delta_LEU
11,0.2607918902550994,delta_LEU
12,0.29315002276469504,delta_LEU
13,0.3313042299183968,delta_LEU
14,0.3553243383882014,delta_LEU
15,0.3553243383882014,delta_LEU
16,0.3759049414820424,delta_LEU
17,0.4033138331799106,delta_LEU
18,0.4136755849103046,delta_LEU
19,0.4270732633908232,delta_LEU
20,0.4270732633908232,delta_LEU
21,0.46026256420734624,delta_LEU
22,0.480636932688197,delta_LEU
