Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,1967.3072370742163,EnrichmentFacility
2,2933.8195721326297,EnrichmentFacility
3,3901.2388359585416,EnrichmentFacility
4,4868.2115369891835,EnrichmentFacility
5,5835.230750889615,EnrichmentFacility
6,6802.058173460846,EnrichmentFacility
7,7768.912897879276,EnrichmentFacility
8,8735.690113842764,EnrichmentFacility
9,9703.388488319952,EnrichmentFacility
10,10670.26151236925,EnrichmentFacility
11,11637.651433082729,EnrichmentFacility
12,12604.679900607729,EnrichmentFacility
13,13571.347994012129,EnrichmentFacility
14,14538.434010799283,EnrichmentFacility
15,15505.498897897323,EnrichmentFacility
16,16471.977952491503,EnrichmentFacility
17,17438.824815534397,EnrichmentFacility
18,18406.072183770295,EnrichmentFacility
19,19372.798673375404,EnrichmentFacility
20,20340.30724155383,EnrichmentFacility
21,21307.096738577507,EnrichmentFacility
22,22273.55433721253,EnrichmentFacility
23,23239.75127728782,EnrichmentFacility
24,24206.60534841445,EnrichmentFacility
25,25174.093753660472,EnrichmentFacility
26,26141.012181811744,EnrichmentFacility
27,27107.188432938496,EnrichmentFacility
28,28074.387991176773,EnrichmentFacility
29,29040.896161878965,EnrichmentFacility
30,30008.504783199372,EnrichmentFacility
31,30974.934317046343,EnrichmentFacility
32,31942.470574785708,EnrichmentFacility
33,32909.195929991605,EnrichmentFacility
34,33875.66881464593,EnrichmentFacility
35,34842.58076668987,EnrichmentFacility
36,35809.86925161852,EnrichmentFacility
37,36777.580985134526,EnrichmentFacility
38,37744.70137456003,EnrichmentFacility
39,38712.654161794366,EnrichmentFacility
40,39679.81999323158,EnrichmentFacility
41,40646.86938550019,EnrichmentFacility
42,41614.73328529247,EnrichmentFacility
43,42582.400836746885,EnrichmentFacility
44,43549.99915222125,EnrichmentFacility
45,44516.7188182157,EnrichmentFacility
46,45482.975405503465,EnrichmentFacility
47,46449.6857977953,EnrichmentFacility
48,47416.68369556747,EnrichmentFacility
49,48383.860754866444,EnrichmentFacility
50,49350.31473433737,EnrichmentFacility
51,50316.922279407474,EnrichmentFacility
52,51283.38587638466,EnrichmentFacility
53,52250.94028167624,EnrichmentFacility
54,53217.10228498544,EnrichmentFacility
55,54184.8159264596,EnrichmentFacility
56,55152.39745928225,EnrichmentFacility
57,56119.52936784061,EnrichmentFacility
58,57086.53466607298,EnrichmentFacility
59,58053.59887724924,EnrichmentFacility
60,59020.77565469527,EnrichmentFacility
61,59987.58293044506,EnrichmentFacility
