Time, Quantity,Prototype
0,999.9999999999999,EnrichmentFacility
1,966.9420009802517,EnrichmentFacility
2,1933.4543360386651,EnrichmentFacility
3,2901.0812693650805,EnrichmentFacility
4,4083.040131198085,EnrichmentFacility
5,5083.040131198085,EnrichmentFacility
6,6083.040131198085,EnrichmentFacility
7,6956.616318908049,EnrichmentFacility
8,7923.8548303768075,EnrichmentFacility
9,8890.2795871226,EnrichmentFacility
10,9857.27601036218,EnrichmentFacility
11,10824.325517989007,EnrichmentFacility
12,11792.291787701135,EnrichmentFacility
13,12758.987016014491,EnrichmentFacility
14,13724.916942041564,EnrichmentFacility
15,14691.390099816434,EnrichmentFacility
16,15658.386523056013,EnrichmentFacility
17,16624.79628211366,EnrichmentFacility
18,17592.083088720494,EnrichmentFacility
19,18558.370662324352,EnrichmentFacility
20,19525.502601488402,EnrichmentFacility
21,20493.148537936944,EnrichmentFacility
22,21460.210013901604,EnrichmentFacility
23,22427.206437141187,EnrichmentFacility
24,23393.590757143404,EnrichmentFacility
25,24359.741605670635,EnrichmentFacility
26,25326.30971754671,EnrichmentFacility
27,26292.811171295903,EnrichmentFacility
28,27259.807594535487,EnrichmentFacility
29,28226.064204189897,EnrichmentFacility
30,29193.121467031313,EnrichmentFacility
31,30160.13299110394,EnrichmentFacility
32,31127.070022219443,EnrichmentFacility
33,32093.659034356664,EnrichmentFacility
34,33060.89380122375,EnrichmentFacility
35,34027.47342912645,EnrichmentFacility
36,34994.805108310386,EnrichmentFacility
37,35961.750926511595,EnrichmentFacility
38,36928.89774367957,EnrichmentFacility
39,37896.34194032861,EnrichmentFacility
40,38864.37697965008,EnrichmentFacility
41,39831.18608764747,EnrichmentFacility
42,40798.234163090776,EnrichmentFacility
43,41765.23058633035,EnrichmentFacility
44,42732.22700956993,EnrichmentFacility
45,43699.03016068434,EnrichmentFacility
46,44665.54136511162,EnrichmentFacility
47,45631.948841585785,EnrichmentFacility
48,46599.1216315651,EnrichmentFacility
49,47565.83168351497,EnrichmentFacility
50,48533.46881012083,EnrichmentFacility
51,49500.360794080654,EnrichmentFacility
52,50468.18836459174,EnrichmentFacility
53,51435.18478783133,EnrichmentFacility
54,52402.23002043351,EnrichmentFacility
55,53369.46513816945,EnrichmentFacility
