Time, Quantity,Prototype
0,999.9999999999999,EnrichmentFacility
1,966.9420009802517,EnrichmentFacility
2,1933.509872217399,EnrichmentFacility
3,2901.1368055438143,EnrichmentFacility
4,4083.6474179990187,EnrichmentFacility
5,5083.647417999019,EnrichmentFacility
6,6083.647417999019,EnrichmentFacility
7,6950.852907595852,EnrichmentFacility
8,7918.291964409612,EnrichmentFacility
9,8884.716721155404,EnrichmentFacility
10,9851.713144394986,EnrichmentFacility
11,10818.253328437131,EnrichmentFacility
12,11786.21959814926,EnrichmentFacility
13,12752.848368016676,EnrichmentFacility
14,13718.778294043748,EnrichmentFacility
15,14685.323869699338,EnrichmentFacility
16,15652.320292938917,EnrichmentFacility
17,16618.730051996565,EnrichmentFacility
18,17586.01652163749,EnrichmentFacility
19,18552.30409524135,EnrichmentFacility
20,19519.300518480937,EnrichmentFacility
21,20486.028314399045,EnrichmentFacility
22,21453.089790363705,EnrichmentFacility
23,22420.086213603292,EnrichmentFacility
24,23386.485349554194,EnrichmentFacility
25,24352.63619808142,EnrichmentFacility
26,25319.562466770338,EnrichmentFacility
27,26286.063920519533,EnrichmentFacility
28,27253.060343759116,EnrichmentFacility
29,28220.522577660922,EnrichmentFacility
30,29187.57984050234,EnrichmentFacility
31,30154.707385772952,EnrichmentFacility
32,31121.64441688845,EnrichmentFacility
33,32088.10460783702,EnrichmentFacility
34,33055.339374704105,EnrichmentFacility
35,34021.74302899767,EnrichmentFacility
36,34989.07470818161,EnrichmentFacility
37,35956.17376913025,EnrichmentFacility
38,36923.32058629823,EnrichmentFacility
39,37890.76478294727,EnrichmentFacility
40,38856.79965653015,EnrichmentFacility
41,39823.60876452754,EnrichmentFacility
42,40790.58083543621,EnrichmentFacility
43,41757.577258675796,EnrichmentFacility
44,42724.573681915375,EnrichmentFacility
45,43691.37683302979,EnrichmentFacility
46,44658.069617891764,EnrichmentFacility
47,45624.47709436594,EnrichmentFacility
48,46591.34565674635,EnrichmentFacility
49,47558.055708696214,EnrichmentFacility
50,48524.017084846346,EnrichmentFacility
51,49490.90906880618,EnrichmentFacility
52,50457.74859573183,EnrichmentFacility
53,51424.74501897141,EnrichmentFacility
54,52391.79025157359,EnrichmentFacility
55,53357.72017760066,EnrichmentFacility
