Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,966.6658785064222,EnrichmentFacility
2,1933.7198829606305,EnrichmentFacility
3,2900.661883940882,EnrichmentFacility
4,4085.4112951826614,EnrichmentFacility
5,5085.411295182661,EnrichmentFacility
6,6085.411295182661,EnrichmentFacility
7,6963.614547032908,EnrichmentFacility
8,7930.800205446237,EnrichmentFacility
9,8897.792754725595,EnrichmentFacility
10,9864.878141075218,EnrichmentFacility
11,10831.599149267347,EnrichmentFacility
12,11798.110522131803,EnrichmentFacility
13,12765.73358544075,EnrichmentFacility
14,13732.847592660079,EnrichmentFacility
15,14699.951461480834,EnrichmentFacility
16,15665.881387507903,EnrichmentFacility
17,16632.43988189658,EnrichmentFacility
18,17599.217097860066,EnrichmentFacility
19,18566.21352109965,EnrichmentFacility
20,19532.795484446837,EnrichmentFacility
21,20500.95491900523,EnrichmentFacility
22,21467.874212424394,EnrichmentFacility
23,22434.643505812823,EnrichmentFacility
24,23401.76909622446,EnrichmentFacility
25,24368.002505502755,EnrichmentFacility
26,25335.20291268467,EnrichmentFacility
27,26302.294288495887,EnrichmentFacility
28,27269.458882342,EnrichmentFacility
29,28236.531316244727,EnrichmentFacility
30,29203.52773948431,EnrichmentFacility
31,30170.42551720631,EnrichmentFacility
32,31137.166052636585,EnrichmentFacility
33,32105.019015970214,EnrichmentFacility
34,33071.890129887484,EnrichmentFacility
35,34038.549897023775,EnrichmentFacility
36,35005.55078771332,EnrichmentFacility
37,35972.222049517695,EnrichmentFacility
38,36939.218472757275,EnrichmentFacility
39,37906.16979888856,EnrichmentFacility
40,38873.417167124455,EnrichmentFacility
41,39839.8269261821,EnrichmentFacility
42,40807.011622420476,EnrichmentFacility
43,41774.008045660055,EnrichmentFacility
44,42741.321818676945,EnrichmentFacility
45,43708.31824191653,EnrichmentFacility
46,44675.785367292694,EnrichmentFacility
47,45643.13089335036,EnrichmentFacility
48,46609.78512628381,EnrichmentFacility
49,47576.67837314918,EnrichmentFacility
1,1000.0,Source
2,1000.0,Source
3,1000.0,Source
4,782.2470119978018,Source
5,749.5587257169542,Source
6,716.4277569751654,Source
7,805.3703176952658,Source
8,805.3703176952658,Source
9,805.3703176952658,Source
10,805.3703176952658,Source
11,805.3703176952658,Source
12,805.3703176952658,Source
13,805.3703176952658,Source
14,805.3703176952658,Source
15,805.3703176952658,Source
16,805.3703176952658,Source
17,805.3703176952658,Source
18,805.3703176952658,Source
19,805.3703176952658,Source
20,805.3703176952658,Source
21,805.3703176952658,Source
22,805.3703176952658,Source
23,805.3703176952658,Source
24,805.3703176952658,Source
25,805.3703176952658,Source
26,805.3703176952658,Source
27,805.3703176952658,Source
28,805.3703176952658,Source
29,805.3703176952658,Source
30,805.3703176952658,Source
31,805.3703176952658,Source
32,805.3703176952658,Source
33,805.3703176952658,Source
34,805.3703176952658,Source
35,805.3703176952658,Source
36,805.3703176952658,Source
37,805.3703176952658,Source
38,805.3703176952658,Source
39,805.3703176952658,Source
40,805.3703176952658,Source
41,805.3703176952658,Source
42,805.3703176952658,Source
43,805.3703176952658,Source
44,805.3703176952658,Source
45,805.3703176952658,Source
46,805.3703176952658,Source
47,805.3703176952658,Source
48,805.3703176952658,Source
49,805.3703176952658,Source
1,33.313419541316215,LEU
2,66.22779535813082,LEU
3,99.25732524712149,LEU
4,132.2309020075404,LEU
5,164.88031933469895,LEU
6,197.98487154524554,LEU
7,230.80485673238974,LEU
8,263.5838752341572,LEU
9,296.5614349272428,LEU
10,329.4435460925958,LEU
11,362.70028517943297,LEU
12,396.17255652434187,LEU
13,428.50186616315256,LEU
14,461.3545513689398,LEU
