Time, Quantity,Prototype
0,999.9999999999999,EnrichmentFacility
1,966.6658785064221,EnrichmentFacility
2,1933.7198829606305,EnrichmentFacility
3,2900.661883940882,EnrichmentFacility
4,4085.4112951826596,EnrichmentFacility
5,5085.411295182659,EnrichmentFacility
6,6085.411295182659,EnrichmentFacility
7,6963.614547032908,EnrichmentFacility
8,7930.800205446238,EnrichmentFacility
9,8897.792754725593,EnrichmentFacility
10,9864.87814107522,EnrichmentFacility
11,10831.59914926735,EnrichmentFacility
12,11798.110522131807,EnrichmentFacility
13,12765.733585440754,EnrichmentFacility
14,13732.847592660082,EnrichmentFacility
15,14699.951461480836,EnrichmentFacility
16,15665.881387507907,EnrichmentFacility
17,16632.439881896582,EnrichmentFacility
18,17599.217097860066,EnrichmentFacility
19,18566.21352109965,EnrichmentFacility
20,19532.795484446837,EnrichmentFacility
21,20500.95491900523,EnrichmentFacility
22,21467.874212424387,EnrichmentFacility
23,22434.64350581282,EnrichmentFacility
24,23401.769096224452,EnrichmentFacility
25,24368.002505502747,EnrichmentFacility
26,25335.20291268466,EnrichmentFacility
27,26302.294288495883,EnrichmentFacility
28,27269.45888234199,EnrichmentFacility
29,28236.531316244713,EnrichmentFacility
30,29203.527739484296,EnrichmentFacility
31,30170.42551720629,EnrichmentFacility
32,31137.16605263657,EnrichmentFacility
33,32105.0190159702,EnrichmentFacility
34,33071.89012988747,EnrichmentFacility
35,34038.54989702376,EnrichmentFacility
36,35005.550787713306,EnrichmentFacility
37,35972.22204951767,EnrichmentFacility
38,36939.21847275725,EnrichmentFacility
39,37906.169798888535,EnrichmentFacility
40,38873.417167124426,EnrichmentFacility
41,39839.82692618207,EnrichmentFacility
42,40807.011622420454,EnrichmentFacility
43,41774.00804566003,EnrichmentFacility
44,42741.32181867692,EnrichmentFacility
45,43708.31824191651,EnrichmentFacility
46,44675.785367292665,EnrichmentFacility
47,45643.13089335033,EnrichmentFacility
48,46609.78512628378,EnrichmentFacility
49,47576.67837314916,EnrichmentFacility
1,999.9999999999999,Source
2,999.9999999999999,Source
3,999.9999999999999,Source
4,782.2470119978036,Source
5,749.558725716956,Source
6,716.4277569751671,Source
7,805.3703176952642,Source
8,805.3703176952642,Source
9,805.3703176952642,Source
10,805.3703176952642,Source
11,805.3703176952642,Source
12,805.3703176952642,Source
13,805.3703176952642,Source
14,805.3703176952642,Source
15,805.3703176952642,Source
16,805.3703176952642,Source
17,805.3703176952642,Source
18,805.3703176952642,Source
19,805.3703176952642,Source
20,805.3703176952642,Source
21,805.3703176952642,Source
22,805.3703176952642,Source
23,805.3703176952642,Source
24,805.3703176952642,Source
25,805.3703176952642,Source
26,805.3703176952642,Source
27,805.3703176952642,Source
28,805.3703176952642,Source
29,805.3703176952642,Source
30,805.3703176952642,Source
31,805.3703176952642,Source
32,805.3703176952642,Source
33,805.3703176952642,Source
34,805.3703176952642,Source
35,805.3703176952642,Source
36,805.3703176952642,Source
37,805.3703176952642,Source
38,805.3703176952642,Source
39,805.3703176952642,Source
40,805.3703176952642,Source
41,805.3703176952642,Source
42,805.3703176952642,Source
43,805.3703176952642,Source
44,805.3703176952642,Source
45,805.3703176952642,Source
46,805.3703176952642,Source
47,805.3703176952642,Source
48,805.3703176952642,Source
49,805.3703176952642,Source
1,33.313419541316215,LEU
2,66.22779535813082,LEU
3,99.25732524712149,LEU
4,132.23090200754038,LEU
5,164.88031933469892,LEU
6,197.98487154524548,LEU
7,230.8048567323897,LEU
8,263.5838752341572,LEU
9,296.5614349272428,LEU
10,329.4435460925958,LEU
11,362.70028517943297,LEU
12,396.17255652434187,LEU
13,428.50186616315256,LEU
14,461.3545513689398,LEU
15,494.21766016106784,LEU
16,528.2877341339972,LEU
17,561.7115584512476,LEU
18,594.9105086719804,LEU
19,627.8840854323994,LEU
20,661.2837806217967,LEU
21,693.0616311728639,LEU
22,726.1145073745782,LEU
23,759.3216030281931,LEU
24,792.1623792126265,LEU
25,825.9204331117015,LEU
26,858.6842879698589,LEU
27,891.5602411932402,LEU
28,924.3609167973121,LEU
29,957.2563447550153,LEU
30,990.2299215154342,LEU
31,1023.304918639438,LEU
32,1056.5415811972885,LEU
33,1088.634523845863,LEU
34,1121.7369348132509,LEU
35,1155.0566376342952,LEU
