Time, Quantity,Prototype
0,999.9999999999999,EnrichmentFacility
1,1966.8788159131916,EnrichmentFacility
2,2934.1726946272884,EnrichmentFacility
3,3901.5153806386397,EnrichmentFacility
4,4867.900515278828,EnrichmentFacility
5,5835.212647597043,EnrichmentFacility
6,6801.606482628902,EnrichmentFacility
7,7768.174353866049,EnrichmentFacility
8,8735.00189396425,EnrichmentFacility
9,9701.20587321381,EnrichmentFacility
10,10668.391531627138,EnrichmentFacility
11,11634.91495737842,EnrichmentFacility
12,12601.72586396647,EnrichmentFacility
13,13568.689408902606,EnrichmentFacility
14,14534.697613696148,EnrichmentFacility
15,15501.625905484336,EnrichmentFacility
16,16468.13727834879,EnrichmentFacility
17,17436.172278922608,EnrichmentFacility
18,18403.286286141938,EnrichmentFacility
19,19369.21621216901,EnrichmentFacility
20,20336.747511133446,EnrichmentFacility
21,21303.65273649234,EnrichmentFacility
22,22270.876489049573,EnrichmentFacility
23,23238.069761007337,EnrichmentFacility
24,24204.651724354528,EnrichmentFacility
25,25172.362481637494,EnrichmentFacility
26,26139.194763317457,EnrichmentFacility
27,27106.076268697976,EnrichmentFacility
28,28073.586198427518,EnrichmentFacility
29,29040.57804373609,EnrichmentFacility
30,30008.261203479055,EnrichmentFacility
31,30974.99548866036,EnrichmentFacility
32,31942.195895842273,EnrichmentFacility
33,32908.8785062257,EnrichmentFacility
34,33876.0431000718,EnrichmentFacility
35,34844.00936978393,EnrichmentFacility
36,35810.84867851431,EnrichmentFacility
37,36779.42310805357,EnrichmentFacility
38,37745.6125524836,EnrichmentFacility
39,38712.698298426934,EnrichmentFacility
40,39679.29654544513,EnrichmentFacility
41,40646.701625168964,EnrichmentFacility
42,41613.8843052126,EnrichmentFacility
43,42580.40488654553,EnrichmentFacility
44,43547.40577723507,EnrichmentFacility
45,44513.82393568593,EnrichmentFacility
46,45480.8072259134,EnrichmentFacility
47,46448.74512999399,EnrichmentFacility
48,47415.78705089764,EnrichmentFacility
49,48382.0135967619,EnrichmentFacility
1,33.09449231841954,LEU
2,65.76224633985095,LEU
3,98.37982014068466,LEU
4,131.9818807240439,LEU
5,164.63086767717184,LEU
6,198.22398313146297,LEU
7,231.63816683447126,LEU
8,264.7853773293159,LEU
9,298.5736891082024,LEU
10,331.35270760996985,LEU
11,364.81258702674904,LEU
12,397.97689892354737,LEU
13,430.98427883662004,LEU
14,464.97387210296444,LEU
15,498.0174968163112,LEU
16,531.4897681612201,LEU
17,563.3955529587449,LEU
18,596.2482381645322,LEU
19,630.3183121374615,LEU
20,662.7419674030458,LEU
21,695.8093073920838,LEU
22,728.5491601819124,LEU
23,761.3203509742818,LEU
24,794.7200461636792,LEU
25,826.9591950435675,LEU
26,860.101530578475,LEU
27,893.1932577762745,LEU
28,925.6388833819732,LEU
29,958.617166848166,LEU
30,990.8846895721954,LEU
31,1024.127778195202,LEU
32,1056.8916330533593,LEU
33,1090.1878500588628,LEU
34,1122.9885256629345,LEU
35,1154.964974684773,LEU
36,1188.1000855020707,LEU
37,1219.4512674839445,LEU
38,1253.254522939105,LEU
39,1286.136264395576,LEU
40,1319.5192178629447,LEU
41,1352.072642849321,LEU
42,1384.8547235007247,LEU
43,1418.317527347842,LEU
44,1451.2865109913105,LEU
45,1484.8546188217476,LEU
46,1517.8416980189306,LEU
47,1549.8473105824482,LEU
48,1582.7741098536835,LEU
49,1616.5392202309847,LEU
1,0.026691768388800226,delta_LEU
2,0.06505903286056013,delta_LEU
3,0.1047992206747193,delta_LEU
4,0.1176039971273273,delta_LEU
5,0.15648472578548073,delta_LEU
6,0.16953423963365952,delta_LEU
7,0.18747929947798056,delta_LEU
8,0.21272870643192515,delta_LEU
9,0.22043767798683803,delta_LEU
10,0.2557607628911567,delta_LEU
11,0.27245559483021087,delta_LEU
12,0.29723710998036407,delta_LEU
13,0.3263122607714068,delta_LEU
14,0.328514200885803,delta_LEU
15,0.3565976993535957,delta_LEU
16,0.37295348998944594,delta_LEU
17,0.4321681186463451,delta_LEU
18,0.46547569352895013,delta_LEU
19,0.46547569352895013,delta_LEU
20,0.5105214635106743,delta_LEU
21,0.5379561155768341,delta_LEU
22,0.5743507685113871,delta_LEU
23,0.6098880183759637,delta_LEU
24,0.6282294817891845,delta_LEU
25,0.6783233189321595,delta_LEU
26,0.7037061040620302,delta_LEU
27,0.7304735257380904,delta_LEU
28,0.7749181904950062,delta_LEU
29,0.8047894157278582,delta_LEU
30,0.8541069487320528,delta_LEU
31,0.8767331444164732,delta_LEU
32,0.9124711043456555,delta_LEU
33,0.9336437154183549,delta_LEU
34,0.9683742652375669,delta_LEU
35,1.025655531269163,delta_LEU
36,1.0512359835940117,delta_LEU
37,1.1256244624711331,delta_LEU
38,1.1329245772746537,delta_LEU
39,1.1654371774773733,delta_LEU
40,1.1842366919053489,delta_LEU
41,1.2257319817040508,delta_LEU
42,1.260971286651576,delta_LEU
43,1.277586106613268,delta_LEU
44,1.3077117736071695,delta_LEU
45,1.3214454923097312,delta_LEU
46,1.3510760676561173,delta_LEU
47,1.4075594235422209,delta_LEU
48,1.4388392486612434,delta_LEU
49,1.4471830070989846,delta_LEU
