Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,1966.8788159131916,EnrichmentFacility
2,2934.1726946272884,EnrichmentFacility
3,3901.51538063864,EnrichmentFacility
4,4867.9005152788295,EnrichmentFacility
5,5835.2126475970435,EnrichmentFacility
6,6801.606482628904,EnrichmentFacility
7,7768.17435386605,EnrichmentFacility
8,8735.001893964252,EnrichmentFacility
9,9701.205873213812,EnrichmentFacility
10,10668.39153162714,EnrichmentFacility
11,11634.91495737842,EnrichmentFacility
12,12601.725863966472,EnrichmentFacility
13,13568.689408902608,EnrichmentFacility
14,14534.697613696148,EnrichmentFacility
15,15501.694036935729,EnrichmentFacility
16,16468.205409800186,EnrichmentFacility
17,17436.240410373997,EnrichmentFacility
18,18403.354417593335,EnrichmentFacility
19,19369.284343620402,EnrichmentFacility
20,20336.815642584843,EnrichmentFacility
21,21303.720867943735,EnrichmentFacility
22,22270.944620500974,EnrichmentFacility
23,23238.13789245874,EnrichmentFacility
24,24204.71985580593,EnrichmentFacility
25,25172.430613088898,EnrichmentFacility
26,26139.26289476886,EnrichmentFacility
27,27106.144400149376,EnrichmentFacility
28,28073.654329878922,EnrichmentFacility
29,29040.646175187496,EnrichmentFacility
30,30008.329334930466,EnrichmentFacility
31,30975.06362011177,EnrichmentFacility
32,31942.264027293688,EnrichmentFacility
33,32908.9466376771,EnrichmentFacility
34,33876.11123152321,EnrichmentFacility
35,34844.07750123535,EnrichmentFacility
36,35810.91680996572,EnrichmentFacility
37,36779.49123950499,EnrichmentFacility
38,37745.68068393502,EnrichmentFacility
39,38712.76642987835,EnrichmentFacility
40,39679.76285311792,EnrichmentFacility
41,40647.16793284175,EnrichmentFacility
42,41614.35061288539,EnrichmentFacility
43,42580.87119421832,EnrichmentFacility
44,43547.87208490786,EnrichmentFacility
45,44514.86850814744,EnrichmentFacility
46,45481.85179837491,EnrichmentFacility
47,46449.789702455506,EnrichmentFacility
48,47416.831623359154,EnrichmentFacility
49,48383.05816922341,EnrichmentFacility
50,49350.879432944486,EnrichmentFacility
51,50318.064129182865,EnrichmentFacility
52,51284.39875294229,EnrichmentFacility
53,52251.72479699117,EnrichmentFacility
54,53218.21693687445,EnrichmentFacility
55,54185.47408340555,EnrichmentFacility
56,55152.9412087817,EnrichmentFacility
57,56119.75726934154,EnrichmentFacility
58,57087.331657978175,EnrichmentFacility
59,58053.90427546897,EnrichmentFacility
60,59021.16899275733,EnrichmentFacility
61,59987.96700844665,EnrichmentFacility
62,60954.29940174253,EnrichmentFacility
63,61921.36087770719,EnrichmentFacility
64,62887.68864279909,EnrichmentFacility
65,63855.201487142534,EnrichmentFacility
66,64821.82900650726,EnrichmentFacility
67,65789.84205326872,EnrichmentFacility
68,66756.91280561402,EnrichmentFacility
69,67723.31194156493,EnrichmentFacility
70,68690.30836480451,EnrichmentFacility
71,69658.23167928602,EnrichmentFacility
72,70625.94067567843,EnrichmentFacility
73,71591.8706017055,EnrichmentFacility
74,72558.79687039442,EnrichmentFacility
75,73525.793293634,EnrichmentFacility
76,74491.91464893524,EnrichmentFacility
77,75459.28711390407,EnrichmentFacility
78,76425.86533621947,EnrichmentFacility
79,77391.79526224655,EnrichmentFacility
80,78359.0135100371,EnrichmentFacility
81,79325.51241519213,EnrichmentFacility
82,80291.92531431578,EnrichmentFacility
83,81258.83935484449,EnrichmentFacility
84,82226.12558766356,EnrichmentFacility
85,83193.18285050498,EnrichmentFacility
86,84159.31296949333,EnrichmentFacility
87,85127.43181927358,EnrichmentFacility
88,86093.44666602065,EnrichmentFacility
89,87060.28282573253,EnrichmentFacility
90,88027.46421970609,EnrichmentFacility
91,88994.81701353114,EnrichmentFacility
92,89962.37847005672,EnrichmentFacility
93,90929.83252890431,EnrichmentFacility
94,91897.06729577141,EnrichmentFacility
95,92864.063719011,EnrichmentFacility
96,93831.03458738168,EnrichmentFacility
97,94798.3470625593,EnrichmentFacility
98,95764.64551675248,EnrichmentFacility
99,96731.39144860988,EnrichmentFacility
1,33.09449231841954,LEU
2,65.76224633985095,LEU
3,98.37982014068466,LEU
4,131.9818807240439,LEU
5,164.63086767717184,LEU
6,198.22398313146297,LEU
7,231.63816683447126,LEU
8,264.7853773293159,LEU
9,298.5736891082024,LEU
10,331.35270760996985,LEU
11,364.81258702674904,LEU
12,397.97689892354737,LEU
13,430.98427883662004,LEU
14,464.97387210296444,LEU
15,497.94744886338333,LEU
16,531.4197202082922,LEU
17,563.3255050058171,LEU
18,596.1781902116044,LEU
19,630.2482641845338,LEU
20,662.6719194501181,LEU
21,695.7392594391562,LEU
22,728.4791122289847,LEU
23,761.2503030213542,LEU
24,794.6499982107515,LEU
25,826.8891470906398,LEU
26,860.0314826255474,LEU
27,893.1232098233469,LEU
28,925.5688354290455,LEU
29,958.5471188952383,LEU
30,990.8146416192677,LEU
31,1024.0577302422744,LEU
32,1056.8215851004318,LEU
33,1090.117802105935,LEU
34,1122.9184777100068,LEU
35,1154.8949267318455,LEU
36,1188.0300375491431,LEU
37,1219.381219531017,LEU
38,1253.1844749861775,LEU
39,1286.0662164426485,LEU
40,1319.0397932030676,LEU
41,1351.5932181894436,LEU
42,1384.3752988408476,LEU
43,1417.838102687965,LEU
44,1450.8070863314333,LEU
45,1483.7806630918521,LEU
46,1516.767742289035,LEU
47,1548.7733548525525,LEU
48,1581.7001541237878,LEU
49,1615.465264501089,LEU
50,1647.5907984554751,LEU
51,1680.3708061976577,LEU
52,1714.0247985060214,LEU
53,1746.6594823988814,LEU
54,1780.1515277385045,LEU
55,1812.8570471997305,LEU
56,1845.3466812225345,LEU
57,1878.5056941690589,LEU
58,1910.8850476728555,LEU
59,1944.294351612607,LEU
60,1976.9920873551978,LEU
61,2010.1696527648503,LEU
62,2043.8259382785188,LEU
63,2076.7326324152614,LEU
64,2110.393676321816,LEU
65,2142.836305327075,LEU
66,2176.1891630323644,LEU
67,2208.1175191913285,LEU
68,2241.0146760077714,LEU
69,2274.6023414309825,LEU
70,2307.5759181914013,LEU
71,2339.596530751678,LEU
72,2371.837490055044,LEU
73,2405.9075640279734,LEU
74,2438.9532687492983,LEU
75,2471.926845509717,LEU
76,2505.8001054046954,LEU
77,2538.3870625818045,LEU
78,2571.79060403622,LEU
79,2605.860678009149,LEU
80,2638.6061904118383,LEU
81,2672.0912801762224,LEU
82,2705.664795275958,LEU
83,2738.7230721291494,LEU
84,2771.3986871205943,LEU
85,2804.309712893497,LEU
86,2838.1739625834803,LEU
87,2869.9935395409566,LEU
88,2903.9763040191638,LEU
89,2937.1146524351648,LEU
90,2969.8980553331357,LEU
91,3002.5052369928585,LEU
92,3034.897886381136,LEU
93,3067.4009544869978,LEU
94,3100.129483140294,LEU
95,3133.103059900713,LEU
96,3166.1029103749142,LEU
97,3198.751544824199,LEU
98,3232.4427241294816,LEU
99,3265.6738384616037,LEU
1,0.026691768388800288,delta_LEU
2,0.06505903286056028,delta_LEU
3,0.10479922067472074,delta_LEU
4,0.11760399712732994,delta_LEU
5,0.12648472578548456,delta_LEU
6,0.13953423963366438,delta_LEU
7,0.15747929947798547,delta_LEU
8,0.18272870643193012,delta_LEU
9,0.1904376779868442,delta_LEU
10,0.19576076289116404,delta_LEU
11,0.2124555948302193,delta_LEU
12,0.23723710998037362,delta_LEU
13,0.2663122607714176,delta_LEU
14,0.26851420088581496,delta_LEU
15,0.26851420088581496,delta_LEU
16,0.2848699915216676,delta_LEU
17,0.344084620178568,delta_LEU
18,0.37739219506117433,delta_LEU
19,0.37739219506117433,delta_LEU
20,0.39243796504289974,delta_LEU
21,0.41987261710905954,delta_LEU
22,0.4562672700436127,delta_LEU
23,0.4918045199081894,delta_LEU
24,0.5101459833214115,delta_LEU
25,0.5302398204643877,delta_LEU
26,0.5556226055942585,delta_LEU
27,0.5823900272703189,delta_LEU
28,0.6268346920272359,delta_LEU
29,0.6567059172600893,delta_LEU
30,0.6760234502642862,delta_LEU
31,0.6986496459487066,delta_LEU
