Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,967.2938787140969,EnrichmentFacility
2,1933.439733512111,EnrichmentFacility
3,2900.751865830325,EnrichmentFacility
4,4079.628738522356,EnrichmentFacility
5,5079.628738522356,EnrichmentFacility
6,6079.628738522356,EnrichmentFacility
7,6959.876496187183,EnrichmentFacility
8,7926.368402834432,EnrichmentFacility
9,8893.331947770568,EnrichmentFacility
10,9860.330014113135,EnrichmentFacility
11,10826.844259136562,EnrichmentFacility
12,11793.620217679752,EnrichmentFacility
13,12760.447640250984,EnrichmentFacility
14,13728.574566936522,EnrichmentFacility
15,14696.105865900954,EnrichmentFacility
16,15662.295310306288,EnrichmentFacility
17,16629.519062863525,EnrichmentFacility
18,17596.52407106694,EnrichmentFacility
19,18563.9631278807,EnrichmentFacility
20,19530.176254820904,EnrichmentFacility
21,20497.00853650087,EnrichmentFacility
22,21464.111224478016,EnrichmentFacility
23,22431.103069786594,EnrichmentFacility
24,23398.099493026177,EnrichmentFacility
25,24365.86891379554,EnrichmentFacility
26,25332.409097837684,EnrichmentFacility
27,26299.68237706063,EnrichmentFacility
28,27266.951170978322,EnrichmentFacility
29,28233.619264382727,EnrichmentFacility
30,29200.61568762231,EnrichmentFacility
31,30166.805132052345,EnrichmentFacility
32,31133.326417717446,EnrichmentFacility
33,32100.73149744127,EnrichmentFacility
34,33067.51031832552,EnrichmentFacility
35,34033.9893729197,EnrichmentFacility
36,35001.02692294902,EnrichmentFacility
37,35967.93123252922,EnrichmentFacility
38,36935.16944193716,EnrichmentFacility
39,37902.21136284081,EnrichmentFacility
40,38869.681186083566,EnrichmentFacility
41,39836.087398335745,EnrichmentFacility
42,40803.14372649734,EnrichmentFacility
43,41770.469770546224,EnrichmentFacility
44,42737.7961400336,EnrichmentFacility
45,43705.038388021705,EnrichmentFacility
46,44672.204361080265,EnrichmentFacility
47,45639.7787497169,EnrichmentFacility
48,46606.18046789909,EnrichmentFacility
49,47573.6779805807,EnrichmentFacility
50,48540.030893075,EnrichmentFacility
51,49507.09236903967,EnrichmentFacility
52,50473.87339290459,EnrichmentFacility
53,51441.66815362453,EnrichmentFacility
54,52409.42225407428,EnrichmentFacility
55,53376.49300641957,EnrichmentFacility
56,54342.47507467823,EnrichmentFacility
57,55309.47619635582,EnrichmentFacility
58,56275.62704488305,EnrichmentFacility
59,57241.96806661145,EnrichmentFacility
60,58207.92379134182,EnrichmentFacility
61,59175.12334958009,EnrichmentFacility
62,60141.59281540041,EnrichmentFacility
63,61108.96528036923,EnrichmentFacility
64,62075.839331225216,EnrichmentFacility
65,63041.76925725229,EnrichmentFacility
66,64009.37178412407,EnrichmentFacility
67,64976.19107961705,EnrichmentFacility
68,65943.62891216399,EnrichmentFacility
69,66910.08828987631,EnrichmentFacility
70,67876.55770802152,EnrichmentFacility
71,68842.68782700988,EnrichmentFacility
72,69809.51221261837,EnrichmentFacility
73,70776.23756782427,EnrichmentFacility
74,71743.7422943497,EnrichmentFacility
75,72710.67932546521,EnrichmentFacility
76,73678.06070406457,EnrichmentFacility
77,74645.4134978896,EnrichmentFacility
78,75612.40992112918,EnrichmentFacility
79,76578.4234451229,EnrichmentFacility
80,77545.80113102216,EnrichmentFacility
81,78512.77199939286,EnrichmentFacility
82,79480.45354659704,EnrichmentFacility
83,80447.78522578099,EnrichmentFacility
84,81414.58260995006,EnrichmentFacility
85,82381.23032394581,EnrichmentFacility
86,83348.14776806162,EnrichmentFacility
87,84315.30381529516,EnrichmentFacility
88,85282.81071078063,EnrichmentFacility
89,86249.73493824375,EnrichmentFacility
90,87217.6244346,EnrichmentFacility
91,88184.34346720933,EnrichmentFacility
92,89151.33989044891,EnrichmentFacility
93,90118.57491727329,EnrichmentFacility
94,91085.69784939212,EnrichmentFacility
95,92052.47610085914,EnrichmentFacility
96,93019.54452494148,EnrichmentFacility
97,93986.51659585015,EnrichmentFacility
98,94953.67353962244,EnrichmentFacility
99,95921.55478195574,EnrichmentFacility
1,1000.0,Source
2,1000.0,Source
3,1000.0,Source
4,788.7971524948439,Source
5,755.3650237319913,Source
6,722.054969666381,Source
7,809.2264758274675,Source
8,809.2264758274675,Source
9,809.2264758274675,Source
10,809.2264758274675,Source
11,809.2264758274675,Source
12,809.2264758274675,Source
13,809.2264758274675,Source
14,809.2264758274675,Source
15,809.2264758274675,Source
16,809.2264758274675,Source
17,809.2264758274675,Source
18,809.2264758274675,Source
19,809.2264758274675,Source
20,809.2264758274675,Source
21,809.2264758274675,Source
22,809.2264758274675,Source
23,809.2264758274675,Source
24,809.2264758274675,Source
25,809.2264758274675,Source
26,809.2264758274675,Source
27,809.2264758274675,Source
28,809.2264758274675,Source
29,809.2264758274675,Source
30,809.2264758274675,Source
31,809.2264758274675,Source
32,809.2264758274675,Source
33,809.2264758274675,Source
34,809.2264758274675,Source
35,809.2264758274675,Source
36,809.2264758274675,Source
37,809.2264758274675,Source
38,809.2264758274675,Source
39,809.2264758274675,Source
40,809.2264758274675,Source
41,809.2264758274675,Source
42,809.2264758274675,Source
43,809.2264758274675,Source
44,809.2264758274675,Source
45,809.2264758274675,Source
46,809.2264758274675,Source
47,809.2264758274675,Source
48,809.2264758274675,Source
49,809.2264758274675,Source
50,809.2264758274675,Source
51,809.2264758274675,Source
52,809.2264758274675,Source
53,809.2264758274675,Source
54,809.2264758274675,Source
55,809.2264758274675,Source
56,809.2264758274675,Source
57,809.2264758274675,Source
58,809.2264758274675,Source
59,809.2264758274675,Source
60,809.2264758274675,Source
61,809.2264758274675,Source
62,809.2264758274675,Source
63,809.2264758274675,Source
64,809.2264758274675,Source
65,809.2264758274675,Source
66,809.2264758274675,Source
67,809.2264758274675,Source
68,809.2264758274675,Source
69,809.2264758274675,Source
70,809.2264758274675,Source
71,809.2264758274675,Source
72,809.2264758274675,Source
73,809.2264758274675,Source
74,809.2264758274675,Source
75,809.2264758274675,Source
