Time, Quantity,Prototype
0,999.9999999999999,EnrichmentFacility
1,1966.8788159131916,EnrichmentFacility
2,2934.1726946272884,EnrichmentFacility
3,3901.5153806386397,EnrichmentFacility
4,4867.900515278829,EnrichmentFacility
5,5835.212647597043,EnrichmentFacility
6,6801.606482628902,EnrichmentFacility
7,7768.174353866049,EnrichmentFacility
8,8735.00189396425,EnrichmentFacility
9,9701.20587321381,EnrichmentFacility
10,10668.391531627138,EnrichmentFacility
11,11634.91495737842,EnrichmentFacility
12,12601.72586396647,EnrichmentFacility
13,13568.689408902606,EnrichmentFacility
14,14534.697613696148,EnrichmentFacility
15,15501.625905484336,EnrichmentFacility
16,16468.13727834879,EnrichmentFacility
17,17436.172278922608,EnrichmentFacility
18,18403.286286141938,EnrichmentFacility
19,19369.21621216901,EnrichmentFacility
20,20336.747511133446,EnrichmentFacility
21,21303.65273649234,EnrichmentFacility
22,22270.876489049573,EnrichmentFacility
23,23238.069761007333,EnrichmentFacility
24,24204.651724354524,EnrichmentFacility
25,25172.36248163749,EnrichmentFacility
26,26139.194763317453,EnrichmentFacility
27,27106.076268697972,EnrichmentFacility
28,28073.586198427514,EnrichmentFacility
29,29040.578043736088,EnrichmentFacility
30,30008.261203479055,EnrichmentFacility
31,30974.99548866036,EnrichmentFacility
32,31942.195895842273,EnrichmentFacility
33,32908.8785062257,EnrichmentFacility
34,33876.04310007181,EnrichmentFacility
35,34844.00936978394,EnrichmentFacility
36,35810.84867851432,EnrichmentFacility
37,36779.42310805356,EnrichmentFacility
38,37745.612552483595,EnrichmentFacility
39,38712.69829842693,EnrichmentFacility
40,39679.29654544513,EnrichmentFacility
41,40646.701625168964,EnrichmentFacility
42,41613.8843052126,EnrichmentFacility
43,42580.404886545526,EnrichmentFacility
44,43547.405777235064,EnrichmentFacility
45,44513.82393568592,EnrichmentFacility
46,45480.80722591339,EnrichmentFacility
47,46448.74512999399,EnrichmentFacility
48,47415.78705089764,EnrichmentFacility
49,48382.0135967619,EnrichmentFacility
50,49349.83486048297,EnrichmentFacility
51,50317.019556721345,EnrichmentFacility
52,51283.35418048077,EnrichmentFacility
53,52250.68022452965,EnrichmentFacility
54,53217.17236441292,EnrichmentFacility
55,54184.42951094402,EnrichmentFacility
56,55151.89663632018,EnrichmentFacility
57,56118.712696880015,EnrichmentFacility
58,57086.287085516655,EnrichmentFacility
59,58052.85970300745,EnrichmentFacility
