Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,1966.8857299638348,EnrichmentFacility
2,2934.003332867436,EnrichmentFacility
3,3900.8821487806276,EnrichmentFacility
4,4869.005371883942,EnrichmentFacility
5,5836.299250598038,EnrichmentFacility
6,6803.353255052247,EnrichmentFacility
7,7770.695941063597,EnrichmentFacility
8,8737.595977264104,EnrichmentFacility
9,9703.98111190429,EnrichmentFacility
10,10671.288348978507,EnrichmentFacility
11,11638.600481296722,EnrichmentFacility
12,12605.437868572048,EnrichmentFacility
13,13571.83170360391,EnrichmentFacility
14,14538.47122676362,EnrichmentFacility
15,15505.4676500032,EnrichmentFacility
16,16472.33668126141,EnrichmentFacility
17,17439.164221359613,EnrichmentFacility
18,18406.946507136076,EnrichmentFacility
19,19373.15048638564,EnrichmentFacility
20,20340.569750211554,EnrichmentFacility
21,21307.755408624886,EnrichmentFacility
22,22274.741884459145,EnrichmentFacility
23,23241.265310210423,EnrichmentFacility
24,24208.14828890571,EnrichmentFacility
25,25175.1447121453,EnrichmentFacility
26,26142.23261414234,EnrichmentFacility
27,27109.196159078478,EnrichmentFacility
28,28076.2815454281,EnrichmentFacility
29,29042.289750221636,EnrichmentFacility
30,30009.286173461216,EnrichmentFacility
31,30976.214465249395,EnrichmentFacility
32,31942.728710272822,EnrichmentFacility
33,32909.24008313728,EnrichmentFacility
34,33876.71875686919,EnrichmentFacility
35,34844.753757443,EnrichmentFacility
36,35811.58118001424,EnrichmentFacility
37,36778.69518723358,EnrichmentFacility
38,37746.43560407101,EnrichmentFacility
39,38712.365530098075,EnrichmentFacility
40,39679.60966206298,EnrichmentFacility
41,40647.14096102741,EnrichmentFacility
42,41613.070887054484,EnrichmentFacility
43,42579.97611241337,EnrichmentFacility
44,43546.75902067061,EnrichmentFacility
45,44513.98277322785,EnrichmentFacility
46,45480.759989191334,EnrichmentFacility
47,46447.953261149094,EnrichmentFacility
48,47415.392317962855,EnrichmentFacility
49,48381.97428131004,EnrichmentFacility
50,49349.3666959187,EnrichmentFacility
51,50317.077453201666,EnrichmentFacility
52,51284.04859870515,EnrichmentFacility
53,52250.88088038512,EnrichmentFacility
54,53217.80017380427,EnrichmentFacility
55,54184.79659704386,EnrichmentFacility
56,55151.64472495959,EnrichmentFacility
57,56119.154654689126,EnrichmentFacility
58,57086.93863265071,EnrichmentFacility
59,58053.930477959286,EnrichmentFacility
60,59021.05606837093,EnrichmentFacility
61,59988.7392281139,EnrichmentFacility
62,60956.12914882737,EnrichmentFacility
63,61922.86343400868,EnrichmentFacility
64,62890.63285477804,EnrichmentFacility
65,63857.83326195996,EnrichmentFacility
66,64824.91351659114,EnrichmentFacility
67,65791.59612697456,EnrichmentFacility
68,66758.86940619751,EnrichmentFacility
69,67726.03400004363,EnrichmentFacility
70,68693.03042328321,EnrichmentFacility
71,69660.99669299534,EnrichmentFacility
72,70627.66478639976,EnrichmentFacility
73,71594.50409513013,EnrichmentFacility
74,72561.67467144129,EnrichmentFacility
75,73530.24910098052,EnrichmentFacility
76,74497.03293963186,EnrichmentFacility
77,75463.2223840619,EnrichmentFacility
78,76429.96291949217,EnrichmentFacility
79,77397.04866543553,EnrichmentFacility
80,78364.0450886751,EnrichmentFacility
81,79330.64333569331,EnrichmentFacility
82,80296.57326172038,EnrichmentFacility
83,81263.9783414442,EnrichmentFacility
84,82230.84945536149,EnrichmentFacility
85,83198.03213540514,EnrichmentFacility
86,84164.67071954337,EnrichmentFacility
87,85131.19130087632,EnrichmentFacility
88,86097.6703554705,EnrichmentFacility
89,87064.67124616003,EnrichmentFacility
90,88031.66766939961,EnrichmentFacility
91,88998.08582785046,EnrichmentFacility
92,89964.99013743066,EnrichmentFacility
93,90931.97342765813,EnrichmentFacility
94,91899.65044865153,EnrichmentFacility
95,92867.58835273213,EnrichmentFacility
96,93834.07093826121,EnrichmentFacility
97,94801.11285916487,EnrichmentFacility
98,95768.36022740076,EnrichmentFacility
99,96734.58677326507,EnrichmentFacility
1,33.08738377920472,LEU
2,65.93637215603327,LEU
3,99.03086447445281,LEU
4,130.84594508959728,LEU
5,163.51369911102867,LEU
6,196.42807492784328,LEU
7,229.045648728677,LEU
8,262.1183238443742,LEU
9,295.7203844277334,LEU
10,328.37440432547174,LEU
11,361.0233912785997,LEU
