Time, Quantity,Prototype
0,1000.0,EnrichmentFacility
1,966.4041826576844,EnrichmentFacility
2,1934.5274057609975,EnrichmentFacility
3,2901.3271352016804,EnrichmentFacility
4,4076.988204592314,EnrichmentFacility
5,5076.988204592314,EnrichmentFacility
6,6076.988204592314,EnrichmentFacility
7,6942.589750106466,EnrichmentFacility
8,7909.586173346047,EnrichmentFacility
9,8877.260198532924,EnrichmentFacility
10,9843.828069770068,EnrichmentFacility
11,10811.109540045882,EnrichmentFacility
12,11778.891825822346,EnrichmentFacility
13,12745.928482231882,EnrichmentFacility
14,13713.114140645212,EnrichmentFacility
15,14680.110563884791,EnrichmentFacility
16,15647.10698712437,EnrichmentFacility
17,16614.46625281726,EnrichmentFacility
18,17581.551639166883,EnrichmentFacility
19,18548.549705509446,EnrichmentFacility
20,19515.15935612756,EnrichmentFacility
21,20481.93716519511,EnrichmentFacility
22,21448.44853805957,EnrichmentFacility
23,22415.444961299152,EnrichmentFacility
24,23383.47996187297,EnrichmentFacility
25,24349.90349602958,EnrichmentFacility
26,25317.64391286702,EnrichmentFacility
27,26284.74778168778,EnrichmentFacility
28,27252.279080652213,EnrichmentFacility
29,28219.498396894352,EnrichmentFacility
30,29186.403622253252,EnrichmentFacility
31,30153.400045492835,EnrichmentFacility
32,31120.177261456323,EnrichmentFacility
33,32087.18226965973,EnrichmentFacility
34,33054.6213264735,EnrichmentFacility
35,34021.39011595871,EnrichmentFacility
36,34989.100873241674,EnrichmentFacility
37,35956.60567064056,EnrichmentFacility
38,36923.52496405971,EnrichmentFacility
39,37890.627652036856,EnrichmentFacility
40,38858.41162999843,EnrichmentFacility
41,39825.879112440256,EnrichmentFacility
42,40793.26903315374,EnrichmentFacility
43,41759.87529204333,EnrichmentFacility
44,42727.075699225235,EnrichmentFacility
45,43693.61588326738,EnrichmentFacility
46,44660.29849365081,EnrichmentFacility
47,45627.62240605448,EnrichmentFacility
48,46594.61882929406,EnrichmentFacility
49,47561.69126319678,EnrichmentFacility
50,48528.35935660118,EnrichmentFacility
51,49495.15909477343,EnrichmentFacility
52,50463.73352431269,EnrichmentFacility
53,51430.36229418011,EnrichmentFacility
54,52397.1028296104,EnrichmentFacility
55,53363.62411527549,EnrichmentFacility
56,54330.222362293694,EnrichmentFacility
57,55297.17607700186,EnrichmentFacility
58,56264.04719091913,EnrichmentFacility
59,57230.82601180338,EnrichmentFacility
60,58197.3465931363,EnrichmentFacility
61,59163.46508793186,EnrichmentFacility
62,60129.540284603165,EnrichmentFacility
63,61096.21154640755,EnrichmentFacility
64,62063.115855987744,EnrichmentFacility
65,63030.35406539568,EnrichmentFacility
66,63996.83665092474,EnrichmentFacility
67,64963.83307416432,EnrichmentFacility
68,65930.05962002858,EnrichmentFacility
69,66896.46937908622,EnrichmentFacility
70,67863.46580232581,EnrichmentFacility
71,68830.03754352522,EnrichmentFacility
72,69797.03396676481,EnrichmentFacility
73,70764.06666772938,EnrichmentFacility
74,71731.38044074629,EnrichmentFacility
75,72698.70681023366,EnrichmentFacility
76,73665.96395676477,EnrichmentFacility
77,74632.96038000436,EnrichmentFacility
78,75599.74987702802,EnrichmentFacility
79,76567.09540308565,EnrichmentFacility
80,77534.66979172228,EnrichmentFacility
81,78501.16498357437,EnrichmentFacility
82,79467.43498765769,EnrichmentFacility
83,80434.43141089728,EnrichmentFacility
84,81401.22942658661,EnrichmentFacility
85,82367.58233908092,EnrichmentFacility
86,83335.05124543617,EnrichmentFacility
87,84302.62857695315,EnrichmentFacility
88,85268.95634204506,EnrichmentFacility
89,86236.12409187741,EnrichmentFacility
90,87203.91885259736,EnrichmentFacility
91,88171.11222047122,EnrichmentFacility
92,89139.12526723268,EnrichmentFacility
93,90106.46544589939,EnrichmentFacility
94,91073.78433936955,EnrichmentFacility
95,92039.7664076282,EnrichmentFacility
96,93006.70104910742,EnrichmentFacility
97,93973.46744658897,EnrichmentFacility
98,94940.32914445273,EnrichmentFacility
99,95907.28628711766,EnrichmentFacility
1,1000.0,Source
2,1000.0,Source
3,1000.0,Source
4,791.3929350635755,Source
5,757.5387898615897,Source
6,723.9239245017778,Source
7,824.4191498394949,Source
8,824.4191498394949,Source
9,824.4191498394949,Source
10,824.4191498394949,Source
11,824.4191498394949,Source
12,824.4191498394949,Source
13,824.4191498394949,Source
14,824.4191498394949,Source
15,824.4191498394949,Source
16,824.4191498394949,Source
17,824.4191498394949,Source
18,824.4191498394949,Source
