Time, Quantity,Prototype
0,999.9999999999999,Enrichment
1,1967.3072370742163,Enrichment
2,2933.8751083113634,Enrichment
3,3901.294372137275,Enrichment
4,4868.105278725327,Enrichment
5,5835.101701964908,Enrichment
6,6801.929124536139,Enrichment
7,7769.460423500573,Enrichment
8,8736.23763946406,Enrichment
9,9703.94839674703,Enrichment
10,10670.94481998661,Enrichment
11,11638.33474070009,Enrichment
12,12605.017351083512,Enrichment
13,13571.685444487912,Enrichment
14,14537.87488891795,Enrichment
15,15504.87131215753,Enrichment
16,16471.35036675171,Enrichment
17,17438.333656979186,Enrichment
18,18405.581025215084,Enrichment
19,19372.765721453467,Enrichment
20,20340.079494470367,Enrichment
21,21306.86899149403,Enrichment
22,22273.44160898484,Enrichment
23,23239.638549060135,Enrichment
24,24205.966314152047,Enrichment
25,25173.601583970885,Enrichment
26,26140.520012122153,Enrichment
27,27108.229008514565,Enrichment
28,28075.428566752835,Enrichment
29,29042.801031721654,Enrichment
30,30010.1317240584,Enrichment
31,30976.561257905378,Enrichment
32,31943.618520746797,Enrichment
33,32910.34387595269,Enrichment
34,33877.52526992624,Enrichment
35,34844.64855095474,Enrichment
36,35811.9370358834,Enrichment
37,36778.23549007659,Enrichment
38,37745.355879502094,Enrichment
39,38712.51192673564,Enrichment
40,39679.50834997522,Enrichment
41,40646.55774224384,Enrichment
42,41613.64580893367,Enrichment
43,42581.31336038809,Enrichment
44,43548.43399780897,Enrichment
45,44515.430421048564,Enrichment
46,45481.68700833633,Enrichment
47,46447.938109196766,Enrichment
48,47414.93600696893,Enrichment
49,48381.89861924776,Enrichment
50,49349.742383000324,Enrichment
51,50316.34992807041,Enrichment
52,51282.71787084288,Enrichment
53,52250.27227613445,Enrichment
54,53216.535756874604,Enrichment
55,54183.53218011419,Enrichment
56,55151.113712936836,Enrichment
57,56117.97721302049,Enrichment
58,57084.98251125285,Enrichment
59,58051.48040510805,Enrichment
60,59018.47682834763,Enrichment
61,59985.28410409742,Enrichment
62,60952.821147195675,Enrichment
63,61919.279381584616,Enrichment
64,62886.28365712188,Enrichment
65,63853.406804796745,Enrichment
66,64820.533062840674,Enrichment
67,65787.61436403803,Enrichment
68,66753.94756936503,Enrichment
69,67721.51971157192,Enrichment
70,68688.74286328512,Enrichment
71,69656.11198073556,Enrichment
72,70622.49552360117,Enrichment
73,71589.39114904923,Enrichment
74,72555.91127071786,Enrichment
75,73522.90769395744,Enrichment
76,74489.76066948476,Enrichment
77,75456.63302329379,Enrichment
78,76423.44079329597,Enrichment
79,77390.35559447568,Enrichment
80,78357.35201771527,Enrichment
81,79323.28194374235,Enrichment
82,80290.41928054334,Enrichment
83,81256.51801307088,Enrichment
84,82223.04412729155,Enrichment
85,83190.04055053114,Enrichment
86,84157.72500901547,Enrichment
87,85124.32837765927,Enrichment
88,86091.38128363973,Enrichment
89,87057.39753930715,Enrichment
90,88025.05949305616,Enrichment
91,88992.40328609876,Enrichment
92,89959.2980069001,Enrichment
93,90926.61708669568,Enrichment
94,91894.31904336672,Enrichment
95,92861.3154666063,Enrichment
96,93827.79425930625,Enrichment
97,94794.86612680338,Enrichment
98,95761.06006296277,Enrichment
99,96727.87405052724,Enrichment
1,32.6540198977384,LEU
2,66.0682036007467,LEU
3,98.60704549378005,LEU
4,131.77135739057843,LEU
5,164.74493415099724,LEU
6,197.8922654787834,LEU
7,230.31592074436776,LEU
8,263.5148709651006,LEU
9,295.754019844989,LEU
10,328.7275966054078,LEU
11,361.296607017038,LEU
12,394.59282402254127,LEU
13,427.9039663619781,LEU
14,461.7072218171386,LEU
15,494.6807985775574,LEU
16,528.1862972885141,LEU
17,561.1733764856968,LEU
18,593.8889493003664,LEU
19,626.668957042549,LEU
20,659.3162571450097,LEU
21,692.5025808458662,LEU
22,725.9118847856176,LEU
23,759.7074337469957,LEU
24,793.3684776535507,LEU
25,825.685237419834,LEU
26,858.7390032289582,LEU
27,890.9799625323238,LEU
28,923.7446902144567,LEU
29,956.3316473915656,LEU
30,988.961552242704,LEU
31,1022.5179646931743,LEU
32,1055.4289904660768,LEU
33,1088.681260259957,LEU
34,1121.4646631579278,LEU
35,1154.3078136872246,LEU
36,1186.9811132184118,LEU
37,1220.6722925236945,LEU
38,1253.518415995233,LEU
39,1286.3278786235453,LEU
40,1319.3014553839641,LEU
41,1352.220573124698,LEU
42,1385.0999285532948,LEU
43,1417.3834986187383,LEU
44,1450.229367118923,LEU
45,1483.2029438793415,LEU
46,1516.9371677838453,LEU
47,1550.6770324459815,LEU
48,1583.6490931959918,LEU
49,1616.6574320015231,LEU
50,1648.7598330104995,LEU
51,1682.133226876713,LEU
52,1715.7529629259134,LEU
53,1748.1528618956434,LEU
54,1781.87999843861,LEU
55,1814.853575199029,LEU
56,1847.2255835546523,LEU
57,1880.3358225287632,LEU
58,1913.3002746475613,LEU
59,1946.7864041590933,LEU
60,1979.7599809195121,LEU
61,2012.9280257881192,LEU
62,2045.3457753404587,LEU
63,2078.872679917964,LEU
64,2111.83818349973,LEU
65,2144.681471133815,LEU
66,2177.5215609058228,LEU
67,2210.407872136601,LEU
68,2244.0633227771395,LEU
69,2276.444985901553,LEU
70,2309.185456436835,LEU
71,2341.775855296263,LEU
72,2375.37955242997,LEU
73,2408.456762370227,LEU
74,2441.9200388117583,LEU
75,2474.8936155721776,LEU
76,2508.0146751527896,LEU
77,2541.115811350929,LEU
78,2574.2833480640966,LEU
79,2607.3408428695643,LEU
80,2640.314419629983,LEU
81,2674.3844936029127,LEU
82,2707.2131929782777,LEU
83,2741.1097120135764,LEU
84,2774.5668273357487,LEU
85,2807.5404040961675,LEU
86,2839.8065915459215,LEU
87,2873.184279319096,LEU
88,2906.099784509139,LEU
89,2940.081100434822,LEU
90,2972.370425666132,LEU
91,3004.986861295509,LEU
92,3038.065001329726,LEU
93,3070.706845376632,LEU
94,3102.955042424995,LEU
95,3135.9286191854135,LEU
96,3169.434387157524,LEU
97,3202.330397453512,LEU
98,3236.129034829339,LEU
99,3269.2901790834862,LEU
1,0.038743028045154754,delta_LEU
2,0.05668808788947584,delta_LEU
3,0.09858236894442297,delta_LEU
4,0.12336388409457727,delta_LEU
5,0.12336388409457727,delta_LEU
6,0.14860998507728299,delta_LEU
7,0.19365575505900728,delta_LEU
8,0.21748957083867582,delta_LEU
9,0.26758340798165103,delta_LEU
10,0.26758340798165103,delta_LEU
11,0.3086522828726972,delta_LEU
12,0.3298248939453966,delta_LEU
13,0.3505891501103973,delta_LEU
14,0.35788926491391915,delta_LEU
15,0.35788926491391915,delta_LEU
16,0.3733359597763766,delta_LEU
