Time, Quantity,Prototype
0,999.9999999999999,Enrichment
1,1966.3851346401877,Enrichment
2,2933.0246577999,Enrichment
3,3899.2286370494585,Enrichment
4,4866.111615744755,Enrichment
5,5833.108038984336,Enrichment
6,6801.143039558154,Enrichment
7,7768.387171523046,Enrichment
8,8735.610924080283,Enrichment
9,9703.003338688934,Enrichment
10,10669.999761928517,Enrichment
11,11637.682921671483,Enrichment
12,12604.76317630267,Enrichment
13,13572.729446014799,Enrichment
14,14539.51328466611,Enrichment
15,15506.509707905692,Enrichment
16,16473.030289238613,Enrichment
17,17439.93459881881,Enrichment
18,18406.97651972246,Enrichment
19,19373.38273197465,Enrichment
20,20340.696504991545,Enrichment
21,21308.163630367704,Enrichment
22,22274.817863301163,Enrichment
23,23241.615878990488,Enrichment
24,24208.60924295993,Enrichment
25,25176.24451277877,Enrichment
26,26142.643648729674,Enrichment
27,27109.505346593418,Enrichment
28,28076.431615282338,Enrichment
29,29043.16107115082,Enrichment
30,30010.491763487556,Enrichment
31,30976.904662611207,Enrichment
32,31945.22905863655,Enrichment
33,32913.347908416785,Enrichment
34,33880.284939532285,Enrichment
35,34847.408220560785,Enrichment
36,35814.39527320785,Enrichment
37,36780.97730775264,Enrichment
38,37748.13070497,Enrichment
39,38715.124461815714,Enrichment
40,39682.1208850553,Enrichment
41,40648.67777160328,Enrichment
42,41616.0359992376,Enrichment
43,42583.486144037524,Enrichment
44,43551.051163916556,Enrichment
45,44518.04758715614,Enrichment
46,45485.037177635524,Enrichment
47,46451.99541980436,Enrichment
48,47419.18447081467,Enrichment
49,48386.316743181844,Enrichment
50,49354.1605069344,Enrichment
51,50321.11998698996,Enrichment
52,51288.9422708117,Enrichment
53,52254.90364696183,Enrichment
54,53222.91249552976,Enrichment
55,54189.90891876933,Enrichment
56,55156.802703801084,Enrichment
57,56123.84793640327,Enrichment
58,57091.12892716787,Enrichment
59,58058.396466311955,Enrichment
60,59025.39288955153,Enrichment
61,59993.20283686106,Enrichment
62,60960.29264889491,Enrichment
63,61927.131355014404,Enrichment
64,62893.718509070066,Enrichment
65,63860.84165674494,Enrichment
66,64827.577957711284,Enrichment
67,65795.35142205644,Enrichment
68,66762.4545164895,Enrichment
69,67729.21083129513,Enrichment
70,68696.43398300833,Enrichment
71,69663.16059992107,Enrichment
72,70630.79923049443,Enrichment
73,71598.83787303879,Enrichment
74,72565.57374804317,Enrichment
75,73532.57017128274,Enrichment
76,74499.68347399264,Enrichment
77,75466.91145275674,Enrichment
78,76434.02034032474,Enrichment
79,77401.56212532743,Enrichment
80,78368.558548567,Enrichment
81,79334.89005994635,Enrichment
82,80302.0428237833,Enrichment
83,81268.56616039394,Enrichment
84,82235.64798911534,Enrichment
85,83202.64441235494,Enrichment
86,84169.95241319481,Enrichment
87,85136.76793001783,Enrichment
88,86103.48195520688,Enrichment
89,87070.46652938584,Enrichment
90,88038.12848313489,Enrichment
91,89005.47238850514,Enrichment
92,89973.2221449979,Enrichment
93,90939.41132295123,Enrichment
94,91905.75951707673,Enrichment
95,92872.75594031632,Enrichment
96,93839.13771136796,Enrichment
97,94807.24897960546,Enrichment
98,95773.81736761484,Enrichment
99,96742.36787516811,Enrichment
1,33.602060583359226,LEU
2,66.9425768332864,LEU
3,100.7308886121729,LEU
4,133.82110105163846,LEU
5,166.79467781205727,LEU
6,198.70046260958216,LEU
7,231.4193627298442,LEU
8,264.1592155196727,LEU
9,296.7256618841824,LEU
10,329.6992386446013,LEU
11,361.9667613686307,LEU
12,394.85414860493285,LEU
13,426.83059762677163,LEU
14,460.02273886698964,LEU
15,492.99631562740853,LEU
16,526.4591194745259,LEU
17,559.5274010026316,LEU
18,592.4542002738668,LEU
19,626.0345903431962,LEU
20,658.6818904456569,LEU
21,691.1715244684609,LEU
22,724.4969171665266,LEU
23,757.674482576179,LEU
24,790.6512046623805,LEU
25,822.9679644286638,LEU
26,856.5556298518746,LEU
27,889.6677217413678,LEU
28,922.7134264626925,LEU
29,955.9614802445303,LEU
30,988.5913850956688,LEU
31,1022.1649001954046,LEU
32,1053.773149001101,LEU
33,1085.5927259585776,LEU
34,1118.6273655119694,LEU
35,1151.4705160412661,LEU
36,1184.4537269839882,LEU
37,1217.8533489730298,LEU
38,1250.6655361610808,LEU
39,1283.6418543196069,LEU
40,1316.6154310800257,LEU
