Time, Quantity,Prototype
0,999.9999999999999,Enrichment
1,1966.837387275326,Enrichment
2,2933.527333209716,Enrichment
3,3900.0507589609974,Enrichment
4,4867.048825303563,Enrichment
5,5834.045248543143,Enrichment
6,6800.861327572153,Enrichment
7,7768.085080129389,Enrichment
8,8734.298207069593,Enrichment
9,9701.146334985315,Enrichment
10,10668.142758224896,Enrichment
11,11635.416037447845,Enrichment
12,12602.215775620109,Enrichment
13,13569.301521563435,Enrichment
14,14535.772213823564,Enrichment
15,15501.84741049487,Enrichment
16,16470.025589587665,Enrichment
17,17437.21028582605,Enrichment
18,18403.911504007032,Enrichment
19,19371.15375199513,Enrichment
20,20338.150175234714,Enrichment
21,21304.347115310007,Enrichment
22,22271.12813917494,Enrichment
23,23238.34678768241,Enrichment
24,24204.991534164288,Enrichment
25,25171.332555892695,Enrichment
26,26138.393023195753,Enrichment
27,27105.367908743865,Enrichment
28,28072.364331983452,Enrichment
29,29038.823709695775,Enrichment
30,30005.424281294596,Enrichment
31,30971.439128041653,Enrichment
32,31938.820506641,Enrichment
33,32905.943787669494,Enrichment
34,33873.321473568765,Enrichment
35,34840.63394874638,Enrichment
36,35807.43133291545,Enrichment
37,36775.74005343766,Enrichment
38,37743.22617913613,Enrichment
39,38709.78306568411,Enrichment
40,39677.98257653031,Enrichment
41,40645.650127984736,Enrichment
42,41612.807071757015,Enrichment
43,42580.05906230405,Enrichment
44,43547.07620415012,Enrichment
45,44514.728004353216,Enrichment
46,45481.84971552435,Enrichment
47,46448.184161414036,Enrichment
48,47416.51464715607,Enrichment
49,48383.9273006386,Enrichment
50,49350.778223274,Enrichment
51,50317.25482379839,Enrichment
52,51284.20126452325,Enrichment
53,52251.38263888842,Enrichment
54,53218.83778037974,Enrichment
55,54185.26228734151,Enrichment
56,55151.72284964993,Enrichment
57,56118.902732318384,Enrichment
58,57085.696230733854,Enrichment
59,58052.45136074947,Enrichment
60,59019.518695961364,Enrichment
61,59986.55040906186,Enrichment
62,60953.76851969927,Enrichment
63,61920.849820896634,Enrichment
64,62887.16945152954,Enrichment
65,63853.732769722075,Enrichment
66,64820.635475751136,Enrichment
67,65787.63189899073,Enrichment
68,66754.69369352442,Enrichment
69,67721.4698528284,Enrichment
70,68688.28431769297,Enrichment
71,69655.0563811361,Enrichment
72,70621.90337995738,Enrichment
73,71589.01226752537,Enrichment
74,72556.81747209557,Enrichment
75,73523.81389533516,Enrichment
76,74490.33570270281,Enrichment
77,75457.85479940692,Enrichment
78,76424.85122264651,Enrichment
79,77391.79193668673,Enrichment
80,78359.01263424932,Enrichment
81,79325.82815107233,Enrichment
82,80293.21701504041,Enrichment
83,81259.23327070782,Enrichment
84,82226.97574307866,Enrichment
85,83194.43476736164,Enrichment
86,84160.78812366296,Enrichment
87,85127.96638153083,Enrichment
88,86094.9628047704,Enrichment
89,87061.95922800999,Enrichment
90,88029.4711792277,Enrichment
91,88996.00507405493,Enrichment
92,89963.47651041827,Enrichment
93,90929.40643644535,Enrichment
94,91896.30262049501,Enrichment
95,92862.24462344045,Enrichment
96,93828.53057127543,Enrichment
97,94794.97726381847,Enrichment
98,95761.55247374884,Enrichment
99,96728.86930225135,Enrichment
1,33.13708632185874,LEU
2,66.42576143124455,LEU
3,99.88564084802375,LEU
4,132.85752828584427,LEU
5,165.83110504626313,LEU
6,198.99009900408848,LEU
7,231.729951793917,LEU
8,265.5088585624786,LEU
9,298.6349021154352,LEU
10,331.608478875854,LEU
11,364.2974118411743,LEU
12,397.4732063153642,LEU
13,430.35494777183527,LEU
14,463.8690440448582,LEU
15,497.78976098750655,LEU
16,529.5483397303783,LEU
17,562.3283474725608,LEU
18,595.60543325305,LEU
19,628.3262703453671,LEU
20,661.2998471057861,LEU
21,695.0953960671641,LEU
22,728.2904312722093,LEU
23,761.0355316860105,LEU
24,794.3706776844951,LEU
25,828.0180920524101,LEU
26,860.9258232238724,LEU
27,893.9215435195823,LEU
28,926.895120280001,LEU
29,960.4208493730465,LEU
30,993.8014128705767,LEU
31,1027.7841773487837,LEU
32,1060.361970159682,LEU
33,1093.2051206889787,LEU
34,1125.7867100736412,LEU
35,1158.435344522926,LEU
36,1191.613559217172,LEU
37,1223.2379244695703,LEU
38,1255.7080237010941,LEU
39,1289.1335010867385,LEU
40,1320.8701480253117,LEU
41,1353.153718090755,LEU
42,1385.9622589611745,LEU
43,1418.6730794415491,LEU
44,1451.6253547920808,LEU
45,1483.9251191831868,LEU
46,1516.7698837290975,LEU
47,1550.4240589105702,LEU
48,1582.0260466990808,LEU
49,1614.5716848809434,LEU
50,1647.6948551002442,LEU
51,1681.2028769126737,LEU
52,1714.2278421693904,LEU
53,1747.0112652273256,LEU
54,1779.5132202352663,LEU
55,1813.0748009745682,LEU
56,1846.5993121494605,LEU
57,1879.3842688647308,LEU
58,1912.5664786167538,LEU
59,1945.7881360513502,LEU
60,1978.6888061233497,LEU
61,2011.6261003378036,LEU
62,2044.371753751666,LEU
63,2077.258064982444,LEU
64,2110.927472166017,LEU
65,2144.346336988354,LEU
66,2177.416267174636,LEU
67,2210.389843935055,LEU
68,2243.296210541611,LEU
69,2276.4962471451013,LEU
70,2309.656900672947,LEU
71,2342.861148351698,LEU
72,2375.988352759938,LEU
73,2408.8463016301257,LEU
74,2440.988346470758,LEU
75,2473.9619232311775,LEU
76,2507.423466555867,LEU
77,2539.8596673248744,LEU
78,2572.8332440852937,LEU
79,2605.8640971152477,LEU
80,2638.6070908351003,LEU
81,2671.7666628134707,LEU
82,2704.33675969618,LEU
83,2738.3180756218626,LEU
84,2770.5246172852944,LEU
85,2803.0225802807277,LEU
86,2836.6573131107275,LEU
87,2869.4439403313677,LEU
88,2902.417517091786,LEU
89,2935.3910938522054,LEU
90,2967.834641106366,LEU
91,3001.2837569576445,LEU
92,3033.7689587274836,LEU
93,3067.8390327004126,LEU
94,3100.9156683259293,LEU
95,3134.9733256631703,LEU
96,3168.677363123879,LEU
97,3202.2161342132526,LEU
98,3235.6227727895207,LEU
99,3268.2669314571963,LEU
1,0.02552640281504756,delta_LEU
2,0.04690535903932812,delta_LEU
3,0.06360019097838339,delta_LEU
4,0.06364641059241614,delta_LEU
5,0.06364641059241614,delta_LEU
6,0.08857342375877159,delta_LEU
7,0.12496807669332595,delta_LEU
8,0.1329343679263286,delta_LEU
9,0.15876289924957904,delta_LEU
10,0.15876289924957904,delta_LEU
11,0.1965507109790805,delta_LEU
12,0.2210180645264352,delta_LEU
13,0.2535306647291558,delta_LEU
14,0.2687421315773088,delta_LEU
15,0.27282851762308125,delta_LEU
16,0.30607068195376586,delta_LEU
17,0.3413667013880467,delta_LEU
18,0.36306273992036525,delta_LEU
19,0.39997765949931335,delta_LEU
20,0.39997765949931335,delta_LEU
21,0.40748862282195136,delta_LEU
22,0.43142955284622314,delta_LEU
23,0.4376806315724855,delta_LEU
24,0.4577881512102812,delta_LEU
25,0.46935205488988985,delta_LEU
26,0.5011535803713596,delta_LEU
27,0.5305477365523773,delta_LEU
28,0.5305477365523773,delta_LEU
29,0.5454409311817836,delta_LEU
30,0.5643058348276585,delta_LEU
31,0.5666946095657819,delta_LEU
32,0.6075231993242874,delta_LEU
33,0.6410916415319093,delta_LEU
34,0.6818163575991478,delta_LEU
35,0.7207067307098153,delta_LEU
36,0.7451078673978327,delta_LEU
37,0.8120220927864605,delta_LEU
38,0.8257971627953242,delta_LEU
39,0.8434332291691448,delta_LEU
40,0.9072754443904781,delta_LEU
41,0.9561539245298594,delta_LEU
42,0.99066928183628,delta_LEU
43,0.9978582544222482,delta_LEU
44,0.998441057815928,delta_LEU
45,1.0468764636234003,delta_LEU
46,1.080400746577472,delta_LEU
47,1.0917796754077014,delta_LEU
48,1.1593061448667894,delta_LEU
49,1.2010144804742218,delta_LEU
50,1.2269216257772315,delta_LEU
51,1.242299288960151,delta_LEU
52,1.2708933073750228,delta_LEU
53,1.2760958842803036,delta_LEU
54,1.318999385003252,delta_LEU
55,1.3329116839446251,delta_LEU
56,1.3478382006328373,delta_LEU
57,1.382998816902446,delta_LEU
58,1.4072906494062463,delta_LEU
59,1.4305031992053603,delta_LEU
60,1.4624979153137332,delta_LEU
61,1.4934906003534478,delta_LEU
62,1.5297265490806153,delta_LEU
63,1.5321141209406686,delta_LEU
64,1.5430763044679443,delta_LEU
65,1.5608932895864507,delta_LEU
66,1.5882570742428017,delta_LEU
67,1.5882570742428017,delta_LEU
68,1.6200959340163463,delta_LEU
69,1.6439000265259978,delta_LEU
70,1.6687816341044073,delta_LEU
71,1.6924705122237431,delta_LEU
72,1.7182672827197736,delta_LEU
73,1.7514308445303772,delta_LEU
74,1.7741814336873465,delta_LEU
75,1.7741814336873465,delta_LEU
76,1.7908307413544389,delta_LEU
77,1.8355332682358587,delta_LEU
78,1.8355332682358587,delta_LEU
79,1.8639661980541464,delta_LEU
80,1.8702749156122593,delta_LEU
81,1.8951861142228075,delta_LEU
82,1.936225263427375,delta_LEU
83,1.938653670346255,delta_LEU
84,1.9596396360624164,delta_LEU
85,2.002652357651464,delta_LEU
86,2.0145632263147686,delta_LEU
87,2.0496781378069064,delta_LEU
88,2.0496781378069064,delta_LEU
89,2.0496781378069064,delta_LEU
90,2.064179665951557,delta_LEU
91,2.0811689874354395,delta_LEU
92,2.1245308542511765,delta_LEU
93,2.1245308542511765,delta_LEU
94,2.151711179091364,delta_LEU
95,2.1520508963896745,delta_LEU
96,2.1620656007056924,delta_LEU
97,2.1766019682630464,delta_LEU
98,2.1947534616483004,delta_LEU
99,2.2337662914754484,delta_LEU
4,0.030000000000000002,covert_HEU
5,0.060000000000000005,covert_HEU
6,0.060000000000000005,covert_HEU
7,0.060000000000000005,covert_HEU
8,0.060000000000000005,covert_HEU
9,0.060000000000000005,covert_HEU
10,0.09,covert_HEU
11,0.09,covert_HEU
12,0.09,covert_HEU
13,0.09,covert_HEU
14,0.09,covert_HEU
15,0.09,covert_HEU
16,0.12000000000000001,covert_HEU
17,0.12000000000000001,covert_HEU
18,0.12000000000000001,covert_HEU
19,0.12000000000000001,covert_HEU
20,0.15,covert_HEU
21,0.15,covert_HEU
22,0.15,covert_HEU
23,0.18,covert_HEU
24,0.18,covert_HEU
25,0.18,covert_HEU
26,0.18,covert_HEU
27,0.18,covert_HEU
28,0.21000000000000002,covert_HEU
29,0.21000000000000002,covert_HEU
30,0.21000000000000002,covert_HEU
31,0.21000000000000002,covert_HEU
32,0.21000000000000002,covert_HEU
33,0.21000000000000002,covert_HEU
34,0.21000000000000002,covert_HEU
35,0.21000000000000002,covert_HEU
36,0.21000000000000002,covert_HEU
37,0.21000000000000002,covert_HEU
38,0.24000000000000002,covert_HEU
39,0.24000000000000002,covert_HEU
40,0.24000000000000002,covert_HEU
41,0.24000000000000002,covert_HEU
42,0.24000000000000002,covert_HEU
43,0.27,covert_HEU
44,0.3,covert_HEU
45,0.3,covert_HEU
46,0.3,covert_HEU
47,0.3,covert_HEU
48,0.3,covert_HEU
49,0.3,covert_HEU
50,0.3,covert_HEU
51,0.3,covert_HEU
52,0.3,covert_HEU
53,0.32999999999999996,covert_HEU
54,0.32999999999999996,covert_HEU
55,0.32999999999999996,covert_HEU
56,0.32999999999999996,covert_HEU
57,0.32999999999999996,covert_HEU
58,0.32999999999999996,covert_HEU
59,0.32999999999999996,covert_HEU
60,0.32999999999999996,covert_HEU
61,0.32999999999999996,covert_HEU
62,0.32999999999999996,covert_HEU
63,0.35999999999999993,covert_HEU
64,0.35999999999999993,covert_HEU
65,0.35999999999999993,covert_HEU
66,0.35999999999999993,covert_HEU
67,0.3899999999999999,covert_HEU
68,0.3899999999999999,covert_HEU
69,0.3899999999999999,covert_HEU
70,0.3899999999999999,covert_HEU
71,0.3899999999999999,covert_HEU
72,0.3899999999999999,covert_HEU
73,0.3899999999999999,covert_HEU
74,0.41999999999999993,covert_HEU
75,0.4499999999999999,covert_HEU
76,0.4499999999999999,covert_HEU
77,0.4499999999999999,covert_HEU
78,0.47999999999999987,covert_HEU
79,0.47999999999999987,covert_HEU
80,0.5099999999999998,covert_HEU
81,0.5099999999999998,covert_HEU
82,0.5099999999999998,covert_HEU
83,0.5099999999999998,covert_HEU
84,0.5399999999999998,covert_HEU
85,0.5399999999999998,covert_HEU
86,0.5399999999999998,covert_HEU
87,0.5399999999999998,covert_HEU
88,0.5699999999999998,covert_HEU
89,0.5999999999999998,covert_HEU
