Time, Quantity,Prototype
0,999.9999999999999,Enrichment
1,1966.096770851869,Enrichment
2,2932.9658021100804,Enrichment
3,3900.5543703343847,Enrichment
4,4867.550793573965,Enrichment
5,5834.547216813546,Enrichment
6,6801.79134877844,Enrichment
7,7768.3498431671105,Enrichment
8,8734.931806514302,Enrichment
9,9701.619652985828,Enrichment
10,10668.745243397467,Enrichment
11,11635.83661920869,Enrichment
12,12602.50471261309,Enrichment
13,13569.500924354908,Enrichment
14,14536.906004078734,Enrichment
15,15503.024498874289,Enrichment
16,16470.70151986769,Enrichment
17,17438.054712442343,Enrichment
18,18405.38075649123,Enrichment
19,19372.653102047774,Enrichment
20,20339.735192315675,Enrichment
21,21307.219165334725,Enrichment
22,22274.212529304164,Enrichment
23,23241.405897178025,Enrichment
24,24208.3243253293,Enrichment
25,25175.281467994235,Enrichment
26,26142.4810262325,Enrichment
27,27109.19586578048,Enrichment
28,28076.526558117217,Enrichment
29,29043.96439066416,Enrichment
30,30011.18811825022,Enrichment
31,30978.338006989656,Enrichment
32,31945.519400963207,Enrichment
33,32912.65585962256,Enrichment
34,33879.821590783125,Enrichment
35,34846.409857171064,Enrichment
36,35813.155789028446,Enrichment
37,36779.24994909466,Enrichment
38,37746.44997044783,Enrichment
39,38713.31753719322,Enrichment
40,39680.552564017584,Enrichment
41,40647.251506637724,Enrichment
42,41614.81652651675,Enrichment
43,42581.812949756335,Enrichment
44,43548.809372995915,Enrichment
45,44516.13184663462,Enrichment
46,45482.45848462643,Enrichment
47,46449.009756406296,Enrichment
48,47415.90544479721,Enrichment
49,48382.73102524628,Enrichment
50,49350.28543053786,Enrichment
51,50316.498922111925,Enrichment
52,51283.113084810975,Enrichment
53,52250.109508050555,Enrichment
54,53216.973008134206,Enrichment
55,54184.04026556405,Enrichment
56,55150.53815941926,Enrichment
57,56117.70171614814,Enrichment
58,57084.94090978841,Enrichment
59,58051.00008384964,Enrichment
60,59018.43665114929,Enrichment
61,59985.585542414854,Enrichment
62,60952.77412487036,Enrichment
63,61919.770548109955,Enrichment
64,62886.873642543,Enrichment
65,63854.21392944695,Enrichment
66,64821.43708116016,Enrichment
67,65789.20910937431,Enrichment
68,66755.78235675528,Enrichment
69,67723.05677711601,Enrichment
70,68690.50158203123,Enrichment
71,69657.66012514982,Enrichment
72,70624.26341483305,Enrichment
73,71591.04383400809,Enrichment
74,72558.20660058374,Enrichment
75,73525.48306728939,Enrichment
76,74491.41299331647,Enrichment
77,75458.10882898352,Enrichment
78,76425.33644065443,Enrichment
79,77392.74749067362,Enrichment
80,78359.76168273148,Enrichment
81,79326.2564012093,Enrichment
82,80292.58584324612,Enrichment
83,81258.96249888853,Enrichment
84,82226.20359278764,Enrichment
85,83193.13524251967,Enrichment
86,84160.029963321,Enrichment
87,85127.61042348825,Enrichment
88,86094.60684672784,Enrichment
89,87061.70777909842,Enrichment
90,88028.704202338,Enrichment
91,88996.15304456637,Enrichment
92,89962.96703213084,Enrichment
93,90930.21850425575,Enrichment
94,91897.10293772847,Enrichment
95,92863.48088932277,Enrichment
96,93829.53301779107,Enrichment
97,94797.05216397734,Enrichment
98,95764.04235740309,Enrichment
99,96730.79406927059,Enrichment
1,33.89853589184741,LEU
2,67.00308810239397,LEU
3,99.36786315425228,LEU
4,132.34143991467116,LEU
5,165.31501667509,LEU
6,198.03391679535204,LEU
7,231.4577411126025,LEU
8,264.8574363019998,LEU
9,298.14826993102247,LEU
10,330.989046115456,LEU
11,363.8649993388373,LEU
12,397.17614167827423,LEU
13,430.1499358857749,LEU
14,462.70336087215117,LEU
15,496.57956173731594,LEU
16,528.8533958906743,LEU
17,561.4601675841641,LEU
18,594.0948514770241,LEU
19,626.7847443722862,LEU
20,659.6702443363944,LEU
21,692.1425568010646,LEU
22,725.1192788872662,LEU
23,757.8903710654761,LEU
24,790.9441368746002,LEU
25,823.9580991513623,LEU
26,856.7228268334951,LEU
27,889.985908085174,LEU
28,922.6158129363123,LEU
29,955.1355637800625,LEU
30,987.8754422434904,LEU
31,1020.6912366010732,LEU
32,1053.4746394990439,LEU
33,1086.3042417177296,LEU
34,1119.1037480152966,LEU
35,1152.4969628627498,LEU
36,1185.7280771948722,LEU
37,1219.629297312395,LEU
38,1252.3935488524544,LEU
39,1285.4996067717852,LEU
40,1318.2278681553444,LEU
41,1351.5072935069911,LEU
42,1383.89627930657,LEU
43,1416.8698560669889,LEU
44,1449.8434328274077,LEU
45,1482.4817875641997,LEU
46,1516.1439902755656,LEU
47,1549.5752403697725,LEU
48,1582.6523855966432,LEU
49,1615.8016108645033,LEU
50,1648.201509834233,LEU
51,1681.980041711976,LEU
52,1715.3466317988477,LEU
53,1748.3202085592666,LEU
54,1781.4304475333774,LEU
55,1814.3311975753945,LEU
56,1847.8173270869265,LEU
57,1880.61906898178,LEU
58,1913.3430463391128,LEU
59,1947.2802365993475,LEU
60,1979.8012882811367,LEU
61,2012.6181081709954,LEU
62,2045.3941203788272,LEU
63,2078.367697139246,LEU
64,2111.2316021021898,LEU
65,2143.85164249604,LEU
66,2176.5921130313222,LEU
67,2208.768267461297,LEU
68,2242.1769237924,LEU
69,2274.8646835203554,LEU
70,2307.3772658667854,LEU
71,2340.1841624021176,LEU
72,2373.5619313569878,LEU
73,2406.7575882615342,LEU
74,2439.5601425361942,LEU
75,2472.245798356632,LEU
76,2506.315872329561,LEU
77,2539.5984920312158,LEU
78,2572.334377152557,LEU
79,2604.881663902334,LEU
80,2637.836972017069,LEU
81,2671.3263662276636,LEU
82,2704.985686017712,LEU
83,2738.596464108563,LEU
84,2771.3184877538038,LEU
85,2804.358660066122,LEU
86,2837.436800100339,LEU
87,2869.8099112846053,LEU
88,2902.783488045024,LEU
89,2935.649615888101,LEU
90,2968.6231926485198,LEU
91,3001.1316241143495,LEU
92,3034.2927683684966,LEU
93,3067.004121853926,LEU
94,3100.092838593871,LEU
95,3133.7022842783927,LEU
96,3167.6467183203304,LEU
97,3200.0828682152746,LEU
98,3233.062850030887,LEU
99,3266.288021764268,LEU
1,0.004693256283505536,delta_LEU
2,0.031109787525902814,delta_LEU
3,0.07776651136289278,delta_LEU
4,0.07776651136289278,delta_LEU
5,0.07776651136289278,delta_LEU
6,0.11473442620803076,delta_LEU
7,0.13241572028627116,delta_LEU
8,0.15075718369949198,delta_LEU
9,0.17207708314882814,delta_LEU
10,0.17571048707736153,delta_LEU
11,0.2083814524730861,delta_LEU
12,0.22914570863808678,delta_LEU
13,0.25913975931839905,delta_LEU
14,0.30063504911710115,delta_LEU
15,0.3059393883954678,delta_LEU
16,0.3250842416356803,delta_LEU
17,0.3651199734937434,delta_LEU
18,0.4043920317450246,delta_LEU
19,0.44215357993466203,delta_LEU
20,0.4445633479296713,delta_LEU
21,0.48827786421013125,delta_LEU
22,0.5181918085663919,delta_LEU
23,0.5237317564996506,delta_LEU
24,0.5515377961012893,delta_LEU
25,0.580432854404702,delta_LEU
26,0.6161469340002469,delta_LEU
27,0.6382261343495942,delta_LEU
28,0.6476289464687506,delta_LEU
29,0.6900455557813167,delta_LEU
30,0.726439506290025,delta_LEU
31,0.7607564092707854,delta_LEU
32,0.7959595377496835,delta_LEU
33,0.8298986597125257,delta_LEU
34,0.8646612015831071,delta_LEU
35,0.8831799661842452,delta_LEU
36,0.9061337766792047,delta_LEU
37,0.910753592949046,delta_LEU
38,0.9164806997206227,delta_LEU
39,0.9428560349955251,delta_LEU
40,0.9795678270747227,delta_LEU
