Time, Quantity,Prototype
0,999.9999999999999,Enrichment
1,1966.8373872753257,Enrichment
2,2933.5273332097154,Enrichment
3,3900.050758960997,Enrichment
4,4867.048825303563,Enrichment
5,5833.876247874794,Enrichment
6,6800.6923269038025,Enrichment
7,7767.91607946104,Enrichment
8,8734.129206401245,Enrichment
9,9700.977334316965,Enrichment
10,10667.21074359526,Enrichment
11,11634.484022818211,Enrichment
12,12601.283760990473,Enrichment
13,13568.3695069338,Enrichment
14,14534.840199193926,Enrichment
15,15500.915395865237,Enrichment
16,16469.09357495803,Enrichment
17,17436.278271196417,Enrichment
18,18402.979489377398,Enrichment
19,19370.2217373655,Enrichment
20,20336.716929217575,Enrichment
21,21302.913869292875,Enrichment
22,22269.694893157808,Enrichment
23,23236.91354166528,Enrichment
24,24203.558288147153,Enrichment
25,25169.89930987556,Enrichment
26,26136.95977717862,Enrichment
27,27103.93466272673,Enrichment
28,28070.330276622215,Enrichment
29,29036.789654334538,Enrichment
30,30003.390225933363,Enrichment
31,30969.405072680413,Enrichment
32,31936.786451279768,Enrichment
33,32903.90973230826,Enrichment
34,33871.28741820753,Enrichment
35,34838.599893385144,Enrichment
36,35805.397277554206,Enrichment
37,36773.70599807642,Enrichment
38,37741.19212377489,Enrichment
39,38707.74901032287,Enrichment
40,39675.94852116907,Enrichment
41,40643.6160726235,Enrichment
42,41610.773016395775,Enrichment
43,42578.025006942815,Enrichment
44,43545.04214878888,Enrichment
45,44512.69394899197,Enrichment
46,45479.81566016311,Enrichment
47,46446.1501060528,Enrichment
48,47414.48059179483,Enrichment
49,48381.893245277366,Enrichment
50,49348.74416791276,Enrichment
51,50315.220768437146,Enrichment
52,51282.16720916201,Enrichment
53,52249.34858352718,Enrichment
54,53216.80372501851,Enrichment
55,54183.228231980276,Enrichment
56,55149.6887942887,Enrichment
57,56116.86867695715,Enrichment
58,57083.662175372614,Enrichment
59,58050.41730538823,Enrichment
60,59017.48464060012,Enrichment
61,59984.51635370062,Enrichment
62,60951.734464338035,Enrichment
63,61918.81576553539,Enrichment
64,62885.1353961683,Enrichment
65,63851.698714360835,Enrichment
66,64818.6014203899,Enrichment
67,65785.2855234167,Enrichment
68,66752.34731795038,Enrichment
69,67719.12347725438,Enrichment
70,68685.93794211895,Enrichment
71,69652.71000556208,Enrichment
72,70619.55700438336,Enrichment
73,71586.66589195136,Enrichment
74,72554.47109652156,Enrichment
75,73521.1395231361,Enrichment
76,74487.66133050376,Enrichment
77,75455.18042720787,Enrichment
78,76421.68751421738,Enrichment
79,77388.6282282576,Enrichment
80,78355.84892582019,Enrichment
81,79322.66444264322,Enrichment
82,80290.0533066113,Enrichment
83,81256.0695622787,Enrichment
84,82223.81203464954,Enrichment
85,83191.27105893251,Enrichment
86,84157.62441523383,Enrichment
87,85124.80267310172,Enrichment
88,86091.28637077023,Enrichment
89,87057.66814182188,Enrichment
90,88025.18009303957,Enrichment
91,88991.71398786681,Enrichment
92,89959.18542423015,Enrichment
93,90925.11535025724,Enrichment
94,91892.01153430689,Enrichment
95,92857.95353725232,Enrichment
96,93824.23948508731,Enrichment
97,94790.68617763038,Enrichment
98,95757.26138756072,Enrichment
99,96724.57821606322,Enrichment
1,33.13708632185874,LEU
2,66.42576143124455,LEU
3,99.88564084802375,LEU
4,132.85752828584427,LEU
5,166.00485961363046,LEU
6,199.1638535714558,LEU
7,231.90370636128432,LEU
8,265.68261312984595,LEU
9,298.80865668280256,LEU
10,332.5667105818776,LEU
11,365.2556435471979,LEU
12,398.43143802138786,LEU
13,431.31317947785885,LEU
14,464.82727575088177,LEU
15,498.74799269353014,LEU
16,530.5065714364018,LEU
17,563.2865791785845,LEU
18,596.5636649590735,LEU
19,629.2845020513907,LEU
20,662.7734095719553,LEU
21,696.5689585333334,LEU
22,729.7639937383786,LEU
23,762.5090941521798,LEU
24,795.8442401506644,LEU
25,829.4916545185794,LEU
26,862.3993856900416,LEU
27,895.3951059857516,LEU
28,928.9863925379301,LEU
29,962.5121216309756,LEU
30,995.8926851285057,LEU
31,1029.875449606713,LEU
32,1062.453242417611,LEU
33,1095.2963929469079,LEU
34,1127.8779823315704,LEU
35,1160.526616780855,LEU
36,1193.704831475101,LEU
37,1225.3291967274995,LEU
38,1257.799295959023,LEU
39,1291.2247733446677,LEU
40,1322.9614202832408,LEU
41,1355.2449903486843,LEU
42,1388.0535312191037,LEU
43,1420.764351699478,LEU
44,1453.71662705001,LEU
45,1486.0163914411157,LEU
46,1518.8611559870267,LEU
47,1552.5153311684994,LEU
48,1584.11731895701,LEU
49,1616.6629571388726,LEU
50,1649.7861273581734,LEU
51,1683.2941491706029,LEU
52,1716.3191144273194,LEU
53,1749.1025374852545,LEU
54,1781.6044924931955,LEU
55,1815.1660732324972,LEU
56,1848.6905844073895,LEU
57,1881.4755411226597,LEU
58,1914.657750874683,LEU
59,1947.8794083092794,LEU
60,1980.7800783812788,LEU
61,2013.7173725957327,LEU
62,2046.463026009595,LEU
63,2079.349337240373,LEU
64,2113.0187444239464,LEU
65,2146.437609246283,LEU
66,2179.507539432565,LEU
67,2212.80222180742,LEU
68,2245.708588413976,LEU
69,2278.9086250174664,LEU
70,2312.069278545312,LEU
71,2345.273526224063,LEU
72,2378.4007306323033,LEU
73,2411.258679502491,LEU
74,2443.400724343124,LEU
75,2476.7115240993985,LEU
76,2510.173067424088,LEU
77,2542.6092681930954,LEU
78,2576.0859459517606,LEU
79,2609.1167989817145,LEU
80,2641.859792701567,LEU
81,2675.0193646799376,LEU
82,2707.5894615626466,LEU
83,2741.5707774883294,LEU
84,2773.7773191517613,LEU
85,2806.2752821471945,LEU
86,2839.9100149771944,LEU
87,2872.6966421978345,LEU
88,2906.1973672272384,LEU
89,2939.8028860150935,LEU
90,2972.246433269254,LEU
91,3005.6955491205326,LEU
92,3038.180750890372,LEU
93,3072.250824863301,LEU
94,3105.3274604888175,LEU
95,3139.385117826059,LEU
96,3173.089155286767,LEU
97,3206.6279263761407,LEU
98,3240.0345649524093,LEU
99,3272.678723620085,LEU
1,0.02552640281504756,delta_LEU
2,0.04690535903932812,delta_LEU
3,0.06360019097838339,delta_LEU
4,0.09364641059241623,delta_LEU
5,0.11889251157512194,delta_LEU
6,0.1438195247414774,delta_LEU
7,0.18021417767603176,delta_LEU
8,0.1881804689090344,delta_LEU
9,0.21400900023228484,delta_LEU
10,0.2225458228605872,delta_LEU
11,0.2603336345900886,delta_LEU
12,0.2848009881374433,delta_LEU
13,0.317313588340164,delta_LEU
14,0.332525055188317,delta_LEU
15,0.3366114412340895,delta_LEU
16,0.39985360556477423,delta_LEU
17,0.4351496249990551,delta_LEU
18,0.4568456635313736,delta_LEU
19,0.49376058311032167,delta_LEU
20,0.5096612104644255,delta_LEU
21,0.5171721737870635,delta_LEU
22,0.5411131038113353,delta_LEU
23,0.5773641825375977,delta_LEU
24,0.5974717021753934,delta_LEU
25,0.609035605855002,delta_LEU
26,0.6408371313364718,delta_LEU
27,0.6702312875174895,delta_LEU
28,0.6833308398543705,delta_LEU
29,0.6982240344837768,delta_LEU
30,0.7170889381296518,delta_LEU
31,0.7194777128677752,delta_LEU
32,0.7603063026262807,delta_LEU
33,0.7938747448339026,delta_LEU
34,0.8345994609011411,delta_LEU
35,0.8734898340118087,delta_LEU
36,0.8978909706998262,delta_LEU
37,0.9648051960884539,delta_LEU
38,1.0085802660973175,delta_LEU
39,1.026216332471138,delta_LEU
40,1.0900585476924716,delta_LEU
41,1.1389370278318527,delta_LEU
42,1.1734523851382734,delta_LEU
43,1.2106413577242416,delta_LEU
44,1.2412241611179216,delta_LEU
45,1.2896595669253939,delta_LEU
46,1.3231838498794655,delta_LEU
47,1.3345627787096948,delta_LEU
48,1.4020892481687828,delta_LEU
49,1.4437975837762154,delta_LEU
50,1.469704729079225,delta_LEU
51,1.4850823922621443,delta_LEU
52,1.5136764106770162,delta_LEU
53,1.548878987582297,delta_LEU
54,1.5917824883052454,delta_LEU
55,1.6056947872466187,delta_LEU
56,1.620621303934831,delta_LEU
57,1.6557819202044395,delta_LEU
58,1.6800737527082399,delta_LEU
59,1.7032863025073537,delta_LEU
60,1.7352810186157268,delta_LEU
61,1.7662737036554415,delta_LEU
62,1.802509652382609,delta_LEU
63,1.8348972242426624,delta_LEU
64,1.845859407769938,delta_LEU
65,1.8636763928884443,delta_LEU
66,1.8910401775447954,delta_LEU
67,1.9122547758828672,delta_LEU
68,1.9440936356564118,delta_LEU
69,1.9678977281660635,delta_LEU
70,1.9927793357444727,delta_LEU
71,2.0164682138638086,delta_LEU
72,2.0422649843598393,delta_LEU
73,2.0754285461704427,delta_LEU
74,2.128179135327412,delta_LEU
75,2.148952764516565,delta_LEU
76,2.1656020721836575,delta_LEU
77,2.2103045990650774,delta_LEU
78,2.226539830878553,delta_LEU
79,2.2549727606968406,delta_LEU
80,2.2912814782549535,delta_LEU
81,2.3161926768655015,delta_LEU
82,2.357231826070069,delta_LEU
83,2.359660232988949,delta_LEU
84,2.4106461987051104,delta_LEU
85,2.4536589202941577,delta_LEU
86,2.465569788957463,delta_LEU
87,2.5006847004496007,delta_LEU
88,2.5162620025265054,delta_LEU
89,2.5289721630205033,delta_LEU
90,2.5734736911651535,delta_LEU
91,2.5904630126490362,delta_LEU
92,2.633824879464773,delta_LEU
93,2.633824879464773,delta_LEU
94,2.6610052043049612,delta_LEU
95,2.6613449216032716,delta_LEU
96,2.671359625919289,delta_LEU
97,2.6858959934766435,delta_LEU
98,2.7040474868618976,delta_LEU
99,2.7430603166890455,delta_LEU
