Time, Quantity,Prototype
0,999.9999999999999,Enrichment
1,1966.3851346401877,Enrichment
2,2933.6968483593405,Enrichment
3,3901.116112185252,Enrichment
4,4868.10866146461,Enrichment
5,5834.718312082718,Enrichment
6,6801.141846239331,Enrichment
7,7767.071772266401,Enrichment
8,8734.076780469819,Enrichment
9,9701.787537752787,Enrichment
10,10668.890225729936,Enrichment
11,11635.624510911246,Enrichment
12,12602.948423314912,Enrichment
13,13570.118999626064,Enrichment
14,14536.640285291165,Enrichment
15,15503.27886942942,Enrichment
16,16469.9501312338,Enrichment
17,17436.99205213745,Enrichment
18,18403.654054913444,Enrichment
19,19370.96782793034,Enrichment
20,20338.7102664129,Enrichment
21,21305.28288390371,Enrichment
22,22271.63579639802,Enrichment
23,23238.05858577046,Enrichment
24,24205.398764437166,Enrichment
25,25172.399886114763,Enrichment
26,26139.327284595714,Enrichment
27,27106.69595350874,Enrichment
28,28073.570004364727,Enrichment
29,29040.068909519752,Enrichment
30,30007.086791755955,Enrichment
31,30973.46104657516,Enrichment
32,31940.941638880697,Enrichment
33,32907.01027248066,Enrichment
34,33873.257582486614,Enrichment
35,34840.57005766422,Enrichment
36,35807.36744183329,Enrichment
37,36775.6761623555,Enrichment
38,37743.16228805398,Enrichment
39,38709.71917460195,Enrichment
40,39677.91868544816,Enrichment
41,40645.58623690258,Enrichment
42,41612.74318067486,Enrichment
43,42579.99517122189,Enrichment
44,43547.01231306797,Enrichment
45,44514.66411327106,Enrichment
46,45481.785824442195,Enrichment
47,46448.12027033189,Enrichment
48,47416.45075607392,Enrichment
49,48383.863409556456,Enrichment
50,49350.71433219185,Enrichment
51,50317.19093271623,Enrichment
52,51284.1373734411,Enrichment
53,52251.31874780626,Enrichment
54,53218.7738892976,Enrichment
55,54185.19839625935,Enrichment
56,55151.65895856778,Enrichment
57,56118.83884123623,Enrichment
58,57085.632339651704,Enrichment
59,58052.387469667316,Enrichment
60,59019.454804879206,Enrichment
61,59986.486517979705,Enrichment
62,60953.704628617124,Enrichment
63,61920.78592981448,Enrichment
64,62887.10556044738,Enrichment
65,63853.668878639925,Enrichment
66,64820.57158466899,Enrichment
67,65787.2556876958,Enrichment
68,66754.31748222947,Enrichment
69,67721.09364153347,Enrichment
70,68687.90810639804,Enrichment
71,69654.68016984117,Enrichment
72,70621.52716866243,Enrichment
73,71588.63605623043,Enrichment
74,72556.44126080065,Enrichment
75,73523.10968741518,Enrichment
76,74489.63149478284,Enrichment
77,75457.15059148695,Enrichment
78,76423.65767849647,Enrichment
79,77390.5983925367,Enrichment
80,78357.81909009928,Enrichment
81,79324.63460692231,Enrichment
82,80292.02347089039,Enrichment
83,81258.03972655779,Enrichment
84,82225.78219892865,Enrichment
85,83193.24122321162,Enrichment
86,84159.59457951294,Enrichment
87,85126.7728373808,Enrichment
88,86093.25653504931,Enrichment
89,87059.63830610097,Enrichment
90,88027.15025731867,Enrichment
91,88993.68415214591,Enrichment
92,89961.15558850925,Enrichment
93,90927.08551453632,Enrichment
94,91893.98169858598,Enrichment
95,92859.92370153141,Enrichment
96,93826.2096493664,Enrichment
97,94792.65634190946,Enrichment
98,95759.23155183982,Enrichment
99,96726.54838034231,Enrichment
1,33.602060583359226,LEU
2,66.25147791051776,LEU
3,98.79031980355111,LEU
4,131.76787949663668,LEU
5,165.13910858689366,LEU
6,198.70168949583118,LEU
7,232.77176346876055,LEU
8,265.73651377487124,LEU
9,297.9756626547596,LEU
10,330.8399855069972,LEU
11,364.08307413000375,LEU
12,396.7199496301327,LEU
13,429.51447448559986,LEU
14,462.9765541880465,LEU
15,496.3180358736057,LEU
16,529.6259206876491,LEU
17,562.5527199588844,LEU
18,595.8701242528654,LEU
19,628.517424355326,LEU
20,660.7240008603105,LEU
21,694.1333048000619,LEU
22,727.768493921147,LEU
23,761.3318405646411,LEU
24,793.9519922403842,LEU
25,826.920738398223,LEU
26,859.9652815470606,LEU
27,892.5561415609986,LEU
28,925.6555329751533,LEU
29,959.1406227395372,LEU
30,992.0921368731597,LEU
31,1025.705383321089,LEU
32,1058.1811715969427,LEU
33,1092.1086362266485,LEU
34,1125.8523983779742,LEU
35,1158.5010328272588,LEU
36,1191.679247521505,LEU
37,1223.3036127739033,LEU
38,1255.7737120054271,LEU
39,1289.1991893910715,LEU
40,1320.9358363296446,LEU
